2009.03.19,01:30,941.97,942.57,926.15,928.7,0
2009.03.19,05:30,928.9,934.01,927.28,933.9,0
2009.03.19,09:30,934.13,935.28,928.22,929.37,0
2009.03.19,13:30,929.55,957.45,929.41,948,0
2009.03.19,17:30,947.95,961.4,945.45,956.35,0
2009.03.19,21:30,956.3,961.51,954.08,959.85,0
2009.03.20,01:30,958.95,958.95,950.88,951.22,0
2009.03.20,05:30,951.1,958.9,951.1,958.2,0
2009.03.20,09:30,958.29,967.17,955.24,960.62,0
2009.03.20,13:30,960.57,961.53,946.58,957.09,0
2009.03.20,17:30,957.49,959.4,950.4,956.84,0
2009.03.20,21:30,956.92,957.9,951.08,952.51,0
2009.03.23,02:30,950.6,959.09,948.9,949.95,0
2009.03.23,06:30,950.03,954.96,949.3,954.69,0
2009.03.23,10:30,954.82,957.37,950.53,950.91,0
2009.03.23,14:30,950.85,955.38,945.52,947.84,0
2009.03.23,18:30,947.79,953.61,947.04,950.95,0
2009.03.23,22:30,950.9,952.55,935.95,939.5,0
2009.03.24,02:30,937.65,944.16,937.23,942.81,0
2009.03.24,06:30,942.92,944.4,941.5,942.59,0
2009.03.24,10:30,942.54,942.93,932.53,934.83,0
2009.03.24,14:30,934.84,936.15,917.84,920.95,0
2009.03.24,18:30,920.87,927.2,918.69,923.56,0
2009.03.24,22:30,923.69,932.28,921.76,925.87,0
2009.03.25,02:30,927.15,931.75,925.15,929.04,0
2009.03.25,06:30,929.18,929.6,925.9,926.85,0
2009.03.25,10:30,926.99,927.47,921.53,922.2,0
2009.03.25,14:30,922.59,939.05,917.1,939.05,0
2009.03.25,18:30,939.67,940.8,924.3,933.6,0
2009.03.25,22:30,933.92,940.15,932.75,934.02,0
2009.03.26,02:30,934.55,938.15,932.3,934,0
2009.03.26,06:30,934.05,934.28,931.98,934.03,0
2009.03.26,10:30,934.1,938.55,932.5,936.64,0
2009.03.26,14:30,936.57,945.55,933.49,936.28,0
2009.03.26,18:30,936.32,942,934.95,938.6,0
2009.03.26,22:30,938.56,940.59,932.74,934.1,0
2009.03.27,02:30,934.7,935.75,930.66,931.67,0
2009.03.27,06:30,931.65,934.24,931.45,933.67,0
2009.03.27,10:30,933.72,936.1,927.65,928.49,0
