rr_threshold,net_score,lowest_drawdown,total_trades,quality_metric,file_path
55,17396.1,-1702,11269,102.20975323149236,../version_2_Level_1_filtered_results\rr_threshold_55\final_result_rr_55.csv
56,17494.7,-1718,11093,101.83178114086148,../version_2_Level_1_filtered_results\rr_threshold_56\final_result_rr_56.csv
57,17700.2,-1766,10958,100.22763306908267,../version_2_Level_1_filtered_results\rr_threshold_57\final_result_rr_57.csv
58,18096.7,-1731,10903,104.54477180820335,../version_2_Level_1_filtered_results\rr_threshold_58\final_result_rr_58.csv
59,18317.7,-1771,10893,103.43139469226425,../version_2_Level_1_filtered_results\rr_threshold_59\final_result_rr_59.csv
60,18529.7,-1962,10993,94.44291539245668,../version_2_Level_1_filtered_results\rr_threshold_60\final_result_rr_60.csv
61,18845.0,-1906,11050,98.8719832109129,../version_2_Level_1_filtered_results\rr_threshold_61\final_result_rr_61.csv
62,19144.3,-1793,11347,106.77244841048521,../version_2_Level_1_filtered_results\rr_threshold_62\final_result_rr_62.csv
63,19390.3,-1773,11347,109.36435420191765,../version_2_Level_1_filtered_results\rr_threshold_63\final_result_rr_63.csv
64,19795.7,-1747,11313,113.31253577561534,../version_2_Level_1_filtered_results\rr_threshold_64\final_result_rr_64.csv
65,19984.8,-1716,11292,116.46153846153847,../version_2_Level_1_filtered_results\rr_threshold_65\final_result_rr_65.csv
66,20244.1,-1688,11259,119.92950236966823,../version_2_Level_1_filtered_results\rr_threshold_66\final_result_rr_66.csv
67,20540.5,-1711,11185,120.04967855055523,../version_2_Level_1_filtered_results\rr_threshold_67\final_result_rr_67.csv
68,20825.6,-1676,11114,124.2577565632458,../version_2_Level_1_filtered_results\rr_threshold_68\final_result_rr_68.csv
69,21024.6,-1727,11114,121.74059061957149,../version_2_Level_1_filtered_results\rr_threshold_69\final_result_rr_69.csv
70,21139.8,-1837,11312,115.07784431137725,../version_2_Level_1_filtered_results\rr_threshold_70\final_result_rr_70.csv
71,21161.0,-1749,11330,120.98913664951401,../version_2_Level_1_filtered_results\rr_threshold_71\final_result_rr_71.csv
72,21555.0,-1731,11330,124.52339688041594,../version_2_Level_1_filtered_results\rr_threshold_72\final_result_rr_72.csv
73,21873.0,-1713,11330,127.68826619964973,../version_2_Level_1_filtered_results\rr_threshold_73\final_result_rr_73.csv
