date,type,entry,stop_loss,distance,max_profit,reward_risk
2009-03-17 01:30:00,Sell,923.25,925.08,1.83,39.35,21.5
2009-03-17 05:30:00,Sell,920.9,923.62,2.72,3.0,1.1
2009-03-17 09:30:00,Sell,919.83,924.01,4.18,35.93,8.6
2009-03-17 13:30:00,Sell,918.39,923.11,4.72,34.49,7.31
2009-03-17 17:30:00,Sell,915.25,919.52,4.27,31.35,7.34
2009-03-17 21:30:00,Buy,915.6,912.73,2.87,1.0,0.35
2009-03-18 01:30:00,Buy,915.2,911.4,3.8,0.0,0.0
2009-03-18 05:30:00,Sell,909.54,915.25,5.71,25.64,4.49
2009-03-18 09:30:00,Buy,911.93,908.68,3.25,1.27,0.39
2009-03-18 13:30:00,Sell,904.95,913.4,8.45,21.05,2.49
2009-03-18 17:30:00,Sell,892.98,906.92,13.94,0.85,0.06
2009-03-18 21:30:00,Buy,942.2,891.93,50.27,0.37,0.01
2009-03-19 01:30:00,Sell,928.5,942.77,14.27,1.22,0.09
2009-03-19 05:30:00,Buy,934.1,927.08,7.02,1.18,0.17
