date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason
2023-09-21,21:30:00,Thursday,Sell,1919.83,1921.35,1.52,1.66,1.09,1,Stop Loss
2023-05-25,21:30:00,Thursday,Sell,1940.81,1944.64,3.83,4.17,1.09,1,Stop Loss
2013-06-06,06:30:00,Thursday,Sell,1397.63,1403.06,5.43,5.93,1.09,1,Stop Loss
2018-08-23,10:30:00,Thursday,Sell,1188.27,1193.07,4.8,5.25,1.09,7,Stop Loss
2014-07-03,14:30:00,Thursday,Sell,1317.63,1323.43,5.8,6.38,1.1,17,Stop Loss
2016-06-09,02:30:00,Thursday,Sell,1261.75,1266.4,4.65,5.11,1.1,4,Stop Loss
2011-06-02,02:30:00,Thursday,Sell,1539.92,1543.37,3.45,3.81,1.1,3,Stop Loss
2012-04-12,10:30:00,Thursday,Sell,1655.5,1660.32,4.82,5.29,1.1,1,Stop Loss
2018-05-31,14:30:00,Thursday,Sell,1302.52,1305.57,3.05,3.37,1.1,1,Stop Loss
2024-06-06,09:30:00,Thursday,Sell,2361.3,2368.54,7.24,7.99,1.1,2,Stop Loss
2015-09-03,18:30:00,Thursday,Sell,1123.96,1130.77,6.81,7.47,1.1,5,Stop Loss
2010-01-07,10:30:00,Thursday,Sell,1131.55,1134.25,2.7,3.0,1.11,1,Stop Loss
2010-08-05,06:30:00,Thursday,Sell,1194.9,1195.85,0.95,1.05,1.11,1,Stop Loss
2017-06-22,14:30:00,Thursday,Sell,1250.56,1254.17,3.61,3.99,1.11,5,Stop Loss
2010-06-10,02:30:00,Thursday,Sell,1230.75,1233.55,2.8,3.1,1.11,1,Stop Loss
2011-04-07,02:30:00,Thursday,Sell,1457.65,1462.25,4.6,5.15,1.12,3,Stop Loss
2011-06-09,02:30:00,Thursday,Sell,1536.15,1538.8,2.65,2.98,1.12,3,Stop Loss
2019-07-04,06:30:00,Thursday,Sell,1415.97,1421.25,5.28,5.9,1.12,5,Stop Loss
2019-07-18,02:30:00,Thursday,Sell,1422.76,1430.22,7.46,8.33,1.12,5,Stop Loss
2010-08-19,22:30:00,Thursday,Sell,1231.9,1233.1,1.2,1.35,1.12,1,Stop Loss
2024-11-14,02:30:00,Thursday,Sell,2560.28,2581.42,21.14,23.59,1.12,12,Stop Loss
2012-12-13,10:30:00,Thursday,Sell,1695.4,1700.71,5.31,5.98,1.13,2,Stop Loss
2014-03-06,06:30:00,Thursday,Sell,1335.27,1338.99,3.72,4.21,1.13,2,Stop Loss
2024-02-08,06:30:00,Thursday,Sell,2032.97,2036.67,3.7,4.17,1.13,1,Stop Loss
2025-04-17,13:30:00,Thursday,Sell,3314.82,3342.27,27.45,31.08,1.13,3,Stop Loss
2011-01-20,22:30:00,Thursday,Sell,1345.8,1353.0,7.2,8.2,1.14,8,Stop Loss
2022-11-10,10:30:00,Thursday,Sell,1708.04,1710.38,2.34,2.67,1.14,1,Stop Loss
2011-08-11,14:30:00,Thursday,Sell,1759.7,1791.9,32.2,36.6,1.14,23,Stop Loss
2022-03-03,06:30:00,Thursday,Sell,1927.32,1930.65,3.33,3.8,1.14,1,Stop Loss
2013-12-19,14:30:00,Thursday,Sell,1199.34,1210.07,10.73,12.21,1.14,22,Stop Loss
2021-09-23,13:30:00,Thursday,Sell,1750.92,1776.66,25.74,29.4,1.14,66,Stop Loss
2012-03-01,06:30:00,Thursday,Sell,1714.44,1725.35,10.92,12.41,1.14,4,Stop Loss
2016-04-21,22:30:00,Thursday,Sell,1247.55,1250.91,3.36,3.84,1.14,1,Stop Loss
2020-07-23,22:30:00,Thursday,Sell,1885.8,1889.84,4.04,4.61,1.14,1,Stop Loss
2016-12-22,06:30:00,Thursday,Sell,1130.88,1131.81,0.93,1.06,1.14,1,Stop Loss
2012-09-13,10:30:00,Thursday,Sell,1729.95,1732.15,2.2,2.5,1.14,1,Stop Loss
2024-12-05,18:30:00,Thursday,Sell,2629.26,2643.52,14.26,16.37,1.15,3,Stop Loss
