date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason
2022-05-17,06:30:00,Tuesday,Buy,1828.54,1821.6,6.94,7.49,1.08,3,Stop Loss
2013-02-05,22:30:00,Tuesday,Buy,1673.0,1671.15,1.85,1.99,1.08,3,Stop Loss
2011-11-29,06:30:00,Tuesday,Buy,1712.67,1708.03,4.64,5.03,1.08,1,Stop Loss
2020-06-02,10:30:00,Tuesday,Buy,1739.62,1734.49,5.13,5.55,1.08,2,Stop Loss
2011-06-07,22:30:00,Tuesday,Buy,1543.89,1541.91,1.98,2.16,1.09,1,Stop Loss
2011-06-14,02:30:00,Tuesday,Buy,1518.9,1514.45,4.45,4.85,1.09,3,Stop Loss
2024-08-20,21:30:00,Tuesday,Buy,2514.17,2508.98,5.19,5.66,1.09,3,Stop Loss
2021-07-06,06:30:00,Tuesday,Buy,1804.09,1794.16,9.93,10.81,1.09,3,Stop Loss
2022-08-23,14:30:00,Tuesday,Buy,1747.18,1730.51,16.67,18.18,1.09,21,Stop Loss
2024-04-16,01:30:00,Tuesday,Buy,2383.84,2378.91,4.93,5.41,1.1,2,Stop Loss
2011-09-13,14:30:00,Tuesday,Buy,1823.95,1805.05,18.9,20.85,1.1,10,Stop Loss
2018-10-16,09:30:00,Tuesday,Buy,1228.53,1225.12,3.41,3.76,1.1,3,Stop Loss
2018-06-05,18:30:00,Tuesday,Buy,1299.3,1290.28,9.02,9.91,1.1,47,Stop Loss
2025-04-08,05:30:00,Tuesday,Buy,3005.79,2990.59,15.2,16.77,1.1,3,Stop Loss
2024-02-13,06:30:00,Tuesday,Buy,2023.78,2016.58,7.2,7.94,1.1,2,Stop Loss
2018-01-02,22:30:00,Tuesday,Buy,1317.6,1314.16,3.44,3.79,1.1,1,Stop Loss
2016-12-13,14:30:00,Tuesday,Buy,1158.57,1157.09,1.48,1.65,1.11,1,Stop Loss
2013-09-03,14:30:00,Tuesday,Buy,1403.24,1391.54,11.7,13.01,1.11,6,Stop Loss
2016-07-19,18:30:00,Tuesday,Buy,1333.2,1328.51,4.69,5.21,1.11,4,Stop Loss
2024-01-09,02:30:00,Tuesday,Buy,2034.25,2027.5,6.75,7.5,1.11,4,Stop Loss
2020-09-08,18:30:00,Tuesday,Buy,1939.94,1909.63,30.31,33.61,1.11,54,Stop Loss
2018-04-24,06:30:00,Tuesday,Buy,1326.98,1325.67,1.31,1.45,1.11,1,Stop Loss
2011-10-18,21:30:00,Tuesday,Buy,1657.75,1651.2,6.55,7.25,1.11,3,Stop Loss
2017-02-14,06:30:00,Tuesday,Buy,1229.74,1225.54,4.2,4.65,1.11,3,Stop Loss
2023-04-18,21:30:00,Tuesday,Buy,2005.42,2003.05,2.37,2.64,1.11,1,Stop Loss
2020-07-28,22:30:00,Tuesday,Buy,1956.09,1949.13,6.96,7.79,1.12,1,Stop Loss
2017-01-17,06:30:00,Tuesday,Buy,1211.56,1205.14,6.42,7.19,1.12,10,Stop Loss
2021-01-12,22:30:00,Tuesday,Buy,1854.29,1846.53,7.76,8.72,1.12,6,Stop Loss
2017-07-18,18:30:00,Tuesday,Buy,1242.06,1239.92,2.14,2.4,1.12,3,Stop Loss
2025-04-22,01:30:00,Tuesday,Buy,3453.3,3411.92,41.38,46.81,1.13,3,Stop Loss
2018-08-21,18:30:00,Tuesday,Buy,1193.97,1187.36,6.61,7.5,1.13,10,Stop Loss
2022-02-01,06:30:00,Tuesday,Buy,1801.6,1795.38,6.22,7.04,1.13,7,Stop Loss
2025-04-15,05:30:00,Tuesday,Buy,3224.81,3218.38,6.43,7.29,1.13,1,Stop Loss
2010-09-21,02:30:00,Tuesday,Buy,1278.1,1276.95,1.15,1.3,1.13,1,Stop Loss
2021-06-22,02:30:00,Tuesday,Buy,1785.44,1781.4,4.04,4.55,1.13,1,Stop Loss
2024-11-05,06:30:00,Tuesday,Buy,2737.9,2727.4,10.5,11.96,1.14,6,Stop Loss
2014-08-19,02:30:00,Tuesday,Buy,1299.28,1296.69,2.59,2.96,1.14,3,Stop Loss
2021-10-19,05:30:00,Tuesday,Buy,1777.64,1771.2,6.44,7.34,1.14,3,Stop Loss
2010-12-21,02:30:00,Tuesday,Buy,1387.2,1382.85,4.35,4.95,1.14,3,Stop Loss
2024-02-20,10:30:00,Tuesday,Buy,2026.18,2018.61,7.57,8.61,1.14,17,Stop Loss
2014-12-23,02:30:00,Tuesday,Buy,1178.31,1172.69,5.62,6.42,1.14,5,Stop Loss
2018-08-21,02:30:00,Tuesday,Buy,1192.92,1190.01,2.91,3.33,1.14,3,Stop Loss
2011-01-11,10:30:00,Tuesday,Buy,1380.85,1375.8,5.05,5.8,1.15,1,Stop Loss
2012-02-14,14:30:00,Tuesday,Buy,1723.64,1711.79,11.85,13.59,1.15,12,Stop Loss
2014-06-17,10:30:00,Tuesday,Buy,1265.97,1263.45,2.52,2.91,1.15,1,Stop Loss
2020-10-20,17:30:00,Tuesday,Buy,1913.11,1897.26,15.85,18.18,1.15,12,Stop Loss
2013-11-05,22:30:00,Tuesday,Buy,1311.67,1309.75,1.92,2.2,1.15,1,Stop Loss
2011-03-08,18:30:00,Tuesday,Buy,1426.8,1423.55,3.25,3.75,1.15,3,Stop Loss
2018-11-13,18:30:00,Tuesday,Buy,1201.34,1198.67,2.67,3.08,1.15,4,Stop Loss
2017-07-04,06:30:00,Tuesday,Buy,1224.74,1221.28,3.46,3.98,1.15,6,Stop Loss
2015-02-24,02:30:00,Tuesday,Buy,1201.94,1200.67,1.27,1.47,1.16,1,Stop Loss
2014-05-06,18:30:00,Tuesday,Buy,1308.83,1304.01,4.82,5.58,1.16,5,Stop Loss
2021-10-26,21:30:00,Tuesday,Buy,1792.32,1790.66,1.66,1.92,1.16,1,Stop Loss
2012-08-28,18:30:00,Tuesday,Buy,1666.45,1663.6,2.85,3.31,1.16,4,Stop Loss
2010-06-15,22:30:00,Tuesday,Buy,1234.15,1231.05,3.1,3.6,1.16,4,Stop Loss
2011-08-02,22:30:00,Tuesday,Buy,1660.95,1642.65,18.3,21.14,1.16,11,Stop Loss
2010-07-06,22:30:00,Tuesday,Buy,1192.75,1189.85,2.9,3.4,1.17,2,Stop Loss
2017-12-05,22:30:00,Tuesday,Buy,1265.89,1263.11,2.78,3.26,1.17,4,Stop Loss
2022-12-20,18:30:00,Tuesday,Buy,1815.59,1812.09,3.5,4.12,1.18,4,Stop Loss
2021-12-21,22:30:00,Tuesday,Buy,1788.84,1786.94,1.9,2.24,1.18,2,Stop Loss
2015-11-24,14:30:00,Tuesday,Buy,1076.38,1072.72,3.66,4.33,1.18,5,Stop Loss
2022-12-20,10:30:00,Tuesday,Buy,1806.67,1792.15,14.52,17.09,1.18,14,Stop Loss
2020-05-19,18:30:00,Tuesday,Buy,1742.93,1733.68,9.25,10.87,1.18,10,Stop Loss
2020-11-24,22:30:00,Tuesday,Buy,1807.21,1803.14,4.07,4.83,1.19,2,Stop Loss
2013-06-18,22:30:00,Tuesday,Buy,1367.56,1365.32,2.24,2.66,1.19,1,Stop Loss
2011-01-25,18:30:00,Tuesday,Buy,1334.25,1322.65,11.6,13.75,1.19,12,Stop Loss
2011-06-21,22:30:00,Tuesday,Buy,1546.2,1544.85,1.35,1.6,1.19,1,Stop Loss
2015-10-27,05:30:00,Tuesday,Buy,1165.82,1163.42,2.4,2.85,1.19,2,Stop Loss
2016-01-12,02:30:00,Tuesday,Buy,1095.67,1092.78,2.89,3.44,1.19,2,Stop Loss
2018-05-08,22:30:00,Tuesday,Buy,1314.43,1312.55,1.88,2.23,1.19,1,Stop Loss
2012-01-17,10:30:00,Tuesday,Buy,1661.6,1658.27,3.34,4.01,1.2,1,Stop Loss
2024-11-19,18:30:00,Tuesday,Buy,2630.26,2620.61,9.65,11.54,1.2,4,Stop Loss
2010-03-09,18:30:00,Tuesday,Buy,1120.74,1114.69,6.05,7.25,1.2,6,Stop Loss
2010-05-11,22:30:00,Tuesday,Buy,1232.69,1218.79,13.9,16.7,1.2,17,Stop Loss
2022-10-25,01:30:00,Tuesday,Buy,1650.22,1648.52,1.7,2.04,1.2,1,Stop Loss
2010-06-22,18:30:00,Tuesday,Buy,1240.3,1235.25,5.05,6.05,1.2,5,Stop Loss
2010-09-07,18:30:00,Tuesday,Buy,1258.0,1254.5,3.5,4.2,1.2,5,Stop Loss
2010-01-26,14:30:00,Tuesday,Buy,1093.05,1085.3,7.75,9.4,1.21,7,Stop Loss
