date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,distance_rounded
2020-10-16,13:30:00,Friday,Sell,1905.58,1914.07,8.5,8.5,1.0,6,Stop Loss,8
2020-03-02,18:30:00,Monday,Sell,1592.84,1601.66,8.8,8.91,1.01,5,Stop Loss,8
2015-05-26,14:30:00,Tuesday,Sell,1188.23,1196.27,8.0,8.11,1.01,21,Stop Loss,8
2014-12-02,10:30:00,Tuesday,Sell,1200.3,1208.69,8.4,8.49,1.01,8,Stop Loss,8
2014-12-29,14:30:00,Monday,Sell,1187.32,1195.88,8.6,8.64,1.01,6,Stop Loss,8
2015-10-07,13:30:00,Wednesday,Sell,1145.2,1153.82,8.6,8.67,1.01,11,Stop Loss,8
2021-08-25,14:30:00,Wednesday,Sell,1788.98,1797.85,8.9,9.04,1.02,7,Stop Loss,8
2022-07-26,10:30:00,Tuesday,Sell,1719.79,1727.99,8.2,8.41,1.03,9,Stop Loss,8
2015-03-30,10:30:00,Monday,Sell,1186.73,1194.81,8.1,8.35,1.03,13,Stop Loss,8
2024-06-17,05:30:00,Monday,Sell,2318.3,2326.38,8.1,8.42,1.04,3,Stop Loss,8
2015-07-22,02:30:00,Wednesday,Sell,1095.45,1103.5,8.1,8.51,1.06,8,Stop Loss,8
2023-02-09,22:30:00,Thursday,Sell,1861.44,1869.75,8.3,8.85,1.06,3,Stop Loss,8
2022-09-06,18:30:00,Tuesday,Sell,1700.71,1709.6,8.9,9.42,1.06,6,Stop Loss,8
2021-02-12,02:30:00,Friday,Sell,1819.44,1828.01,8.6,9.08,1.06,4,Stop Loss,8
2019-08-30,10:30:00,Friday,Sell,1525.25,1533.21,8.0,8.49,1.07,4,Stop Loss,8
2024-03-14,13:30:00,Thursday,Sell,2162.21,2171.03,8.8,9.56,1.08,5,Stop Loss,8
2020-05-11,10:30:00,Monday,Sell,1701.03,1709.62,8.6,9.28,1.08,7,Stop Loss,8
2020-06-01,10:30:00,Monday,Sell,1735.74,1743.88,8.1,8.76,1.08,7,Stop Loss,8
2022-05-25,14:30:00,Wednesday,Sell,1849.18,1857.2,8.0,8.67,1.08,11,Stop Loss,8
2025-05-14,05:30:00,Wednesday,Sell,3233.33,3241.57,8.2,9.1,1.1,1,Stop Loss,8
