date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,distance_rounded
2011-02-28,10:30:00,Monday,Sell,1410.65,1416.5,5.8,5.9,1.01,6,Stop Loss,5
2017-10-10,17:30:00,Tuesday,Sell,1289.24,1294.33,5.1,5.12,1.01,9,Stop Loss,5
2010-12-02,10:30:00,Thursday,Sell,1389.67,1395.09,5.4,5.54,1.02,2,Stop Loss,5
2023-06-27,05:30:00,Tuesday,Sell,1924.74,1929.75,5.0,5.16,1.03,2,Stop Loss,5
2018-10-17,17:30:00,Wednesday,Sell,1224.18,1229.61,5.4,5.62,1.03,6,Stop Loss,5
2010-06-04,10:30:00,Friday,Sell,1202.2,1207.6,5.4,5.56,1.03,1,Stop Loss,5
2021-06-07,02:30:00,Monday,Sell,1886.75,1891.92,5.2,5.39,1.04,4,Stop Loss,5
2010-05-19,06:30:00,Wednesday,Sell,1212.14,1217.24,5.1,5.3,1.04,1,Stop Loss,5
2017-07-07,18:30:00,Friday,Sell,1210.53,1216.16,5.6,5.84,1.04,12,Stop Loss,5
2017-09-05,10:30:00,Tuesday,Sell,1331.4,1336.59,5.2,5.41,1.04,2,Stop Loss,5
2019-01-08,02:30:00,Tuesday,Sell,1284.92,1290.32,5.4,5.63,1.04,10,Stop Loss,5
2023-11-27,14:30:00,Monday,Sell,2011.17,2016.51,5.3,5.55,1.04,3,Stop Loss,5
2019-03-26,14:30:00,Tuesday,Sell,1313.95,1319.04,5.1,5.32,1.05,6,Stop Loss,5
2017-04-17,22:30:00,Monday,Sell,1284.36,1289.89,5.5,5.79,1.05,5,Stop Loss,5
2021-08-16,02:30:00,Monday,Sell,1776.84,1782.7,5.9,6.15,1.05,3,Stop Loss,5
2023-02-01,18:30:00,Wednesday,Sell,1926.91,1932.39,5.5,5.76,1.05,1,Stop Loss,5
2010-05-24,22:30:00,Monday,Sell,1191.15,1196.85,5.7,6.0,1.05,4,Stop Loss,5
2012-08-20,10:30:00,Monday,Sell,1615.01,1620.1,5.1,5.39,1.06,2,Stop Loss,5
