date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,hour
2017-10-19,17:30:00,Thursday,Buy,1288.13,1285.39,2.74,2.83,1.03,2,Stop Loss,17
2011-10-26,17:30:00,Wednesday,Buy,1718.9,1709.91,8.99,9.35,1.04,4,Stop Loss,17
2025-07-04,17:30:00,Friday,Buy,3336.44,3330.57,5.87,6.15,1.05,2,Stop Loss,17
2023-05-09,17:30:00,Tuesday,Buy,2035.7,2024.12,11.58,12.39,1.07,6,Stop Loss,17
2016-11-03,17:30:00,Thursday,Buy,1300.6,1294.6,6.0,6.47,1.08,8,Stop Loss,17
2025-04-24,17:30:00,Thursday,Buy,3336.89,3306.39,30.5,33.4,1.1,3,Stop Loss,17
2010-09-29,17:30:00,Wednesday,Buy,1310.25,1305.2,5.05,5.55,1.1,5,Stop Loss,17
2020-10-22,17:30:00,Thursday,Buy,1903.71,1894.19,9.52,10.44,1.1,8,Stop Loss,17
2019-10-16,17:30:00,Wednesday,Buy,1489.26,1482.03,7.23,8.0,1.11,19,Stop Loss,17
2019-10-30,17:30:00,Wednesday,Buy,1493.43,1490.66,2.77,3.07,1.11,1,Stop Loss,17
2009-10-22,17:30:00,Thursday,Buy,1059.1,1051.35,7.75,8.6,1.11,6,Stop Loss,17
2015-10-08,17:30:00,Thursday,Buy,1144.62,1138.79,5.83,6.54,1.12,1,Stop Loss,17
2013-10-25,17:30:00,Friday,Buy,1352.62,1344.54,8.08,9.08,1.12,10,Stop Loss,17
2009-10-19,17:30:00,Monday,Buy,1057.35,1048.1,9.25,10.55,1.14,11,Stop Loss,17
2020-10-20,17:30:00,Tuesday,Buy,1913.11,1897.26,15.85,18.18,1.15,12,Stop Loss,17
2023-06-15,17:30:00,Thursday,Buy,1958.85,1951.05,7.8,8.96,1.15,10,Stop Loss,17
2017-09-27,17:30:00,Wednesday,Buy,1284.41,1282.4,2.01,2.34,1.16,1,Stop Loss,17
2019-10-02,17:30:00,Wednesday,Buy,1503.49,1489.87,13.62,16.04,1.18,18,Stop Loss,17
2019-10-04,17:30:00,Friday,Buy,1504.73,1498.23,6.5,7.66,1.18,5,Stop Loss,17
2024-09-05,17:30:00,Thursday,Buy,2515.24,2503.55,11.69,13.93,1.19,5,Stop Loss,17
2023-07-12,17:30:00,Wednesday,Buy,1957.41,1952.27,5.14,6.1,1.19,5,Stop Loss,17
2025-07-21,17:30:00,Monday,Buy,3393.49,3385.97,7.52,9.06,1.2,2,Stop Loss,17
2010-11-02,17:30:00,Tuesday,Buy,1356.7,1350.1,6.6,8.0,1.21,6,Stop Loss,17
2010-10-01,17:30:00,Friday,Buy,1316.75,1314.3,2.45,3.0,1.22,4,Stop Loss,17
2019-10-18,17:30:00,Friday,Buy,1490.87,1488.46,2.41,2.94,1.22,4,Stop Loss,17
2013-10-03,17:30:00,Thursday,Buy,1317.19,1310.51,6.68,8.22,1.23,5,Stop Loss,17
2024-06-20,17:30:00,Thursday,Buy,2357.55,2348.65,8.9,11.07,1.24,5,Stop Loss,17
2024-04-15,17:30:00,Monday,Buy,2365.55,2323.82,41.73,52.23,1.25,32,Stop Loss,17
2022-10-21,17:30:00,Friday,Buy,1652.0,1633.95,18.05,22.77,1.26,35,Stop Loss,17
2023-07-19,17:30:00,Wednesday,Buy,1977.39,1969.45,7.94,9.98,1.26,6,Stop Loss,17
2013-10-07,17:30:00,Monday,Buy,1323.23,1319.67,3.56,4.52,1.27,4,Stop Loss,17
