date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,hour
2020-01-24,18:30:00,Friday,Buy,1572.91,1563.75,9.16,15.5,1.69,14,Stop Loss,18
2011-05-27,18:30:00,Friday,Buy,1534.68,1531.09,3.59,6.05,1.69,14,Stop Loss,18
2020-07-03,18:30:00,Friday,Buy,1774.2,1772.79,1.41,2.38,1.69,1,Stop Loss,18
2021-08-16,18:30:00,Monday,Buy,1787.02,1782.06,4.96,8.41,1.7,6,Stop Loss,18
2024-02-05,18:30:00,Monday,Buy,2026.03,2015.2,10.83,18.42,1.7,29,Stop Loss,18
2012-01-24,18:30:00,Tuesday,Buy,1665.15,1662.28,2.87,4.9,1.71,4,Stop Loss,18
2013-03-26,18:30:00,Tuesday,Buy,1597.15,1594.97,2.18,3.75,1.72,4,Stop Loss,18
2013-08-14,18:30:00,Wednesday,Buy,1333.29,1325.74,7.55,13.0,1.72,5,Stop Loss,18
2020-03-05,18:30:00,Thursday,Buy,1667.76,1655.02,12.74,22.08,1.73,6,Stop Loss,18
2012-01-25,18:30:00,Wednesday,Buy,1700.58,1648.69,51.89,89.97,1.73,209,Stop Loss,18
2016-04-06,18:30:00,Wednesday,Buy,1222.07,1219.85,2.22,3.85,1.73,1,Stop Loss,18
2014-01-10,18:30:00,Friday,Buy,1247.31,1242.78,4.53,7.9,1.74,12,Stop Loss,18
2021-03-10,18:30:00,Wednesday,Buy,1723.4,1714.08,9.32,16.39,1.76,9,Stop Loss,18
2016-06-24,18:30:00,Friday,Buy,1318.3,1308.61,9.69,17.03,1.76,11,Stop Loss,18
2014-06-23,18:30:00,Monday,Buy,1317.61,1312.95,4.66,8.21,1.76,9,Stop Loss,18
2018-07-13,18:30:00,Friday,Buy,1241.58,1239.98,1.6,2.81,1.76,2,Stop Loss,18
2020-05-25,18:30:00,Monday,Buy,1728.08,1725.06,3.02,5.34,1.77,1,Stop Loss,18
2020-08-31,18:30:00,Monday,Buy,1972.75,1961.73,11.02,19.52,1.77,8,Stop Loss,18
2010-12-10,18:30:00,Friday,Buy,1385.05,1372.0,13.05,23.15,1.77,23,Stop Loss,18
2018-03-06,18:30:00,Tuesday,Buy,1334.69,1331.48,3.21,5.67,1.77,4,Stop Loss,18
2014-09-05,18:30:00,Friday,Buy,1266.99,1264.29,2.7,4.79,1.77,5,Stop Loss,18
2013-02-12,18:30:00,Tuesday,Buy,1648.8,1646.2,2.6,4.61,1.77,4,Stop Loss,18
