date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,hour
2011-10-25,13:30:00,Tuesday,Sell,1653.7,1664.15,10.45,0.7,SL,1,Stop Loss,13
2011-11-01,13:30:00,Tuesday,Sell,1695.15,1708.19,13.04,3.1,SL,1,Stop Loss,13
2011-11-04,13:30:00,Friday,Sell,1751.22,1763.2,11.98,2.73,SL,3,Stop Loss,13
2012-03-13,13:30:00,Tuesday,Sell,1688.48,1700.55,12.07,3.18,SL,1,Stop Loss,13
2012-03-14,13:30:00,Wednesday,Sell,1648.5,1662.75,14.25,14.16,SL,7,Stop Loss,13
2012-03-15,13:30:00,Thursday,Sell,1644.45,1650.43,5.98,0.43,SL,1,Stop Loss,13
2012-03-19,13:30:00,Monday,Sell,1656.75,1659.15,2.4,2.35,SL,1,Stop Loss,13
2012-09-26,13:30:00,Wednesday,Sell,1746.15,1765.65,19.5,10.1,SL,6,Stop Loss,13
2012-10-02,13:30:00,Tuesday,Sell,1775.6,1784.45,8.85,5.48,SL,11,Stop Loss,13
2012-10-04,13:30:00,Thursday,Sell,1787.26,1794.85,7.59,0.46,SL,1,Stop Loss,13
2012-10-10,13:30:00,Wednesday,Sell,1761.1,1768.3,7.2,2.6,SL,5,Stop Loss,13
2012-10-15,13:30:00,Monday,Sell,1735.78,1748.85,13.07,7.51,SL,9,Stop Loss,13
2012-10-17,13:30:00,Wednesday,Sell,1747.49,1751.51,4.02,0.77,SL,1,Stop Loss,13
2012-10-30,13:30:00,Tuesday,Sell,1711.28,1715.24,3.96,3.28,SL,5,Stop Loss,13
2013-03-14,13:30:00,Thursday,Sell,1584.88,1588.5,3.62,1.63,SL,1,Stop Loss,13
2013-09-24,13:30:00,Tuesday,Sell,1313.69,1319.35,5.66,1.16,SL,1,Stop Loss,13
2013-09-25,13:30:00,Wednesday,Sell,1320.98,1326.45,5.47,0.41,SL,1,Stop Loss,13
2013-10-04,13:30:00,Friday,Sell,1312.25,1325.61,13.36,6.6,SL,6,Stop Loss,13
2013-10-11,13:30:00,Friday,Sell,1266.04,1291.35,25.31,14.5,SL,23,Stop Loss,13
2013-10-16,13:30:00,Wednesday,Sell,1273.65,1284.98,11.33,4.51,SL,3,Stop Loss,13
2013-10-18,13:30:00,Friday,Sell,1316.74,1322.36,5.62,5.13,SL,5,Stop Loss,13
