date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,hour
2023-04-05,09:30:00,Wednesday,Buy,2024.65,2021.51,3.14,7.44,2.37,1,Stop Loss,09
2025-05-05,09:30:00,Monday,Buy,3308.89,3256.42,52.47,126.16,2.4,30,Stop Loss,09
2024-04-12,09:30:00,Friday,Buy,2398.24,2384.42,13.82,33.14,2.4,2,Stop Loss,09
2015-10-12,09:30:00,Monday,Buy,1165.08,1163.47,1.61,3.86,2.4,1,Stop Loss,09
2023-09-22,09:30:00,Friday,Buy,1925.48,1924.02,1.46,3.53,2.42,4,Stop Loss,09
2013-10-30,09:30:00,Wednesday,Buy,1348.44,1343.93,4.51,11.01,2.44,3,Stop Loss,09
2018-10-04,09:30:00,Thursday,Buy,1199.33,1196.33,3.0,7.35,2.45,11,Stop Loss,09
2019-09-23,09:30:00,Monday,Buy,1518.2,1511.24,6.96,17.38,2.5,14,Stop Loss,09
2025-06-20,09:30:00,Friday,Buy,3355.34,3340.09,15.25,38.52,2.53,10,Stop Loss,09
2019-03-18,09:30:00,Monday,Buy,1305.54,1298.22,7.32,18.86,2.58,49,Stop Loss,09
2009-10-08,09:30:00,Thursday,Buy,1053.3,1051.99,1.31,3.4,2.6,1,Stop Loss,09
2024-04-18,09:30:00,Thursday,Buy,2379.69,2374.66,5.03,13.08,2.6,2,Stop Loss,09
2017-10-04,09:30:00,Wednesday,Buy,1276.68,1274.64,2.04,5.45,2.67,1,Stop Loss,09
2023-05-09,09:30:00,Tuesday,Buy,2028.43,2021.13,7.3,19.66,2.69,13,Stop Loss,09
2013-10-14,09:30:00,Monday,Buy,1277.27,1272.6,4.67,12.77,2.73,3,Stop Loss,09
2011-09-26,09:30:00,Monday,Buy,1604.73,1532.25,72.48,198.07,2.73,400,Stop Loss,09
2023-08-17,09:30:00,Thursday,Buy,1895.33,1892.38,2.95,8.04,2.73,2,Stop Loss,09
2024-05-30,09:30:00,Thursday,Buy,2333.3,2323.67,9.63,26.3,2.73,9,Stop Loss,09
2020-10-01,09:30:00,Thursday,Buy,1897.64,1892.36,5.28,14.5,2.75,5,Stop Loss,09
2024-07-16,09:30:00,Tuesday,Buy,2442.59,2427.81,14.78,41.04,2.78,16,Stop Loss,09
2013-03-15,09:30:00,Friday,Buy,1593.0,1591.05,1.95,5.45,2.79,1,Stop Loss,09
2020-10-14,09:30:00,Wednesday,Buy,1898.04,1892.73,5.31,14.79,2.79,4,Stop Loss,09
2024-08-15,09:30:00,Thursday,Buy,2456.95,2452.43,4.52,13.08,2.89,1,Stop Loss,09
2021-10-22,09:30:00,Friday,Buy,1793.17,1786.08,7.09,20.5,2.89,2,Stop Loss,09
2016-10-24,09:30:00,Monday,Buy,1266.36,1264.49,1.87,5.44,2.91,1,Stop Loss,09
2025-03-21,09:30:00,Friday,Buy,3029.75,3026.88,2.87,8.36,2.91,1,Stop Loss,09
2023-11-03,09:30:00,Friday,Buy,1989.18,1984.22,4.96,14.79,2.98,5,Stop Loss,09
2025-05-20,09:30:00,Tuesday,Buy,3236.49,3207.63,28.86,594.82,20.61,565,End of Data,09
2024-09-10,09:30:00,Tuesday,Buy,2506.13,2499.81,6.32,1325.18,209.68,1624,End of Data,09
2024-07-10,09:30:00,Wednesday,Buy,2372.02,2366.88,5.14,111.61,21.71,65,Stop Loss,09
2018-10-11,09:30:00,Thursday,Buy,1203.75,1191.49,12.26,2627.56,214.32,10751,End of Data,09
2024-03-28,09:30:00,Thursday,Buy,2197.94,2190.58,7.36,1633.37,221.93,2326,End of Data,09
2023-10-16,09:30:00,Monday,Buy,1916.3,1907.85,8.45,1915.01,226.63,3019,End of Data,09
2015-09-24,09:30:00,Thursday,Buy,1134.93,1134.02,0.91,21.72,23.87,13,Stop Loss,09
2023-10-17,09:30:00,Tuesday,Buy,1923.1,1915.31,7.79,1908.21,244.96,3013,End of Data,09
2025-04-09,09:30:00,Wednesday,Buy,3045.01,3014.25,30.76,786.3,25.56,733,End of Data,09
2023-03-17,09:30:00,Friday,Buy,1932.33,1927.02,5.31,147.15,27.71,379,Stop Loss,09
2020-09-24,09:30:00,Thursday,Buy,1852.24,1848.38,3.86,113.24,29.34,253,Stop Loss,09
2014-10-01,09:30:00,Wednesday,Buy,1209.4,1205.15,4.25,13.01,3.06,13,Stop Loss,09
2016-09-21,09:30:00,Wednesday,Buy,1320.77,1313.35,7.42,22.79,3.07,44,Stop Loss,09
2011-03-16,09:30:00,Wednesday,Buy,1399.45,1397.55,1.9,6.05,3.18,1,Stop Loss,09
2012-10-10,09:30:00,Wednesday,Buy,1762.0,1760.1,1.9,6.1,3.21,1,Stop Loss,09
2025-08-25,09:30:00,Monday,Buy,3367.55,3361.69,5.86,18.97,3.24,4,Stop Loss,09
2011-03-21,09:30:00,Monday,Buy,1427.35,1425.05,2.3,7.5,3.26,2,Stop Loss,09
2014-10-07,09:30:00,Tuesday,Buy,1206.07,1203.84,2.23,7.32,3.28,1,Stop Loss,09
2024-10-01,09:30:00,Tuesday,Buy,2648.76,2641.39,7.37,24.32,3.3,8,Stop Loss,09
2015-09-29,09:30:00,Tuesday,Buy,1126.41,1123.91,2.5,8.35,3.34,4,Stop Loss,09
2024-08-23,09:30:00,Friday,Buy,2499.02,2490.29,8.73,29.92,3.43,35,Stop Loss,09
2024-09-13,09:30:00,Friday,Buy,2568.76,2562.81,5.95,20.77,3.49,14,Stop Loss,09
2024-07-04,09:30:00,Thursday,Buy,2357.84,2350.22,7.62,27.27,3.58,7,Stop Loss,09
2023-06-23,09:30:00,Friday,Buy,1917.95,1912.6,5.35,19.27,3.6,14,Stop Loss,09
2023-09-20,09:30:00,Wednesday,Buy,1931.9,1927.65,4.25,15.44,3.63,4,Stop Loss,09
2021-03-15,09:30:00,Monday,Buy,1729.1,1721.84,7.26,26.32,3.63,19,Stop Loss,09
2023-08-21,09:30:00,Monday,Buy,1889.58,1887.09,2.49,9.06,3.64,1,Stop Loss,09
2012-09-21,09:30:00,Friday,Buy,1773.7,1769.95,3.75,13.65,3.64,2,Stop Loss,09
2013-03-21,09:30:00,Thursday,Buy,1609.07,1606.9,2.17,7.91,3.65,7,Stop Loss,09
2025-03-18,09:30:00,Tuesday,Buy,3020.31,3010.32,9.99,37.02,3.71,19,Stop Loss,09
2025-08-07,09:30:00,Thursday,Buy,3376.76,3372.19,4.57,17.03,3.73,1,Stop Loss,09
2020-09-29,09:30:00,Tuesday,Buy,1886.17,1876.88,9.29,34.97,3.76,33,Stop Loss,09
2019-10-02,09:30:00,Wednesday,Buy,1483.73,1474.21,9.52,35.8,3.76,44,Stop Loss,09
2017-09-25,09:30:00,Monday,Buy,1295.32,1290.57,4.75,18.22,3.84,10,Stop Loss,09
2009-10-12,09:30:00,Monday,Buy,1052.35,1047.6,4.75,18.25,3.84,19,Stop Loss,09
2025-09-22,09:30:00,Monday,Buy,3723.36,3695.33,28.03,107.95,3.85,31,End of Data,09
2019-10-03,09:30:00,Thursday,Buy,1500.44,1495.53,4.91,19.09,3.89,14,Stop Loss,09
2015-10-09,09:30:00,Friday,Buy,1154.51,1145.17,9.34,36.91,3.95,87,Stop Loss,09
2024-08-12,09:30:00,Monday,Buy,2442.79,2433.45,9.34,37.21,3.98,19,Stop Loss,09
2025-08-04,09:30:00,Monday,Buy,3358.18,3351.37,6.81,27.19,3.99,7,Stop Loss,09
2015-10-06,09:30:00,Tuesday,Buy,1137.79,1136.01,1.78,53.63,30.13,115,Stop Loss,09
2024-05-17,09:30:00,Friday,Buy,2382.59,2380.59,2.0,67.47,33.74,21,Stop Loss,09
2024-08-08,09:30:00,Thursday,Buy,2396.34,2392.31,4.03,1434.97,356.07,1762,End of Data,09
2025-07-11,09:30:00,Friday,Buy,3339.56,3330.77,8.79,35.28,4.01,14,Stop Loss,09
2018-10-18,09:30:00,Thursday,Buy,1223.33,1218.36,4.97,20.02,4.03,53,Stop Loss,09
2025-07-18,09:30:00,Friday,Buy,3352.63,3331.48,21.15,86.16,4.07,32,Stop Loss,09
2012-09-25,09:30:00,Tuesday,Buy,1764.25,1761.65,2.6,10.61,4.08,2,Stop Loss,09
2024-05-01,09:30:00,Wednesday,Buy,2292.03,2283.19,8.84,36.27,4.1,13,Stop Loss,09
2010-03-16,09:30:00,Tuesday,Buy,1114.7,1110.15,4.55,18.65,4.1,20,Stop Loss,09
2021-10-08,09:30:00,Friday,Buy,1759.34,1754.04,5.3,21.86,4.12,4,Stop Loss,09
2025-04-16,09:30:00,Wednesday,Buy,3303.7,3290.67,13.03,54.13,4.15,8,Stop Loss,09
2014-10-20,09:30:00,Monday,Buy,1240.85,1237.43,3.42,14.35,4.2,19,Stop Loss,09
2023-08-30,09:30:00,Wednesday,Buy,1938.17,1934.67,3.5,14.72,4.21,14,Stop Loss,09
2024-06-11,09:30:00,Tuesday,Buy,2306.61,2298.38,8.23,34.97,4.25,14,Stop Loss,09
2023-07-18,09:30:00,Tuesday,Buy,1963.1,1957.49,5.61,24.27,4.33,20,Stop Loss,09
2019-10-23,09:30:00,Wednesday,Buy,1493.38,1487.83,5.55,24.47,4.41,25,Stop Loss,09
2012-10-01,09:30:00,Monday,Buy,1770.9,1765.28,5.62,24.9,4.43,38,Stop Loss,09
2024-06-03,09:30:00,Monday,Buy,2327.83,2314.36,13.47,59.77,4.44,25,Stop Loss,09
2010-10-13,09:30:00,Wednesday,Buy,1360.45,1354.55,5.9,26.65,4.52,18,Stop Loss,09
2015-10-28,09:30:00,Wednesday,Buy,1171.93,1169.57,2.36,10.95,4.64,3,Stop Loss,09
2012-10-26,09:30:00,Friday,Buy,1705.07,1700.38,4.69,21.82,4.65,31,Stop Loss,09
2018-10-12,09:30:00,Friday,Buy,1220.37,1215.54,4.83,22.98,4.76,77,Stop Loss,09
2024-07-30,09:30:00,Tuesday,Buy,2389.24,2387.47,1.77,8.46,4.78,1,Stop Loss,09
2016-11-01,09:30:00,Tuesday,Buy,1283.21,1278.05,5.16,24.68,4.78,32,Stop Loss,09
2024-07-11,09:30:00,Thursday,Buy,2384.15,2378.19,5.96,28.81,4.83,1,Stop Loss,09
2009-10-09,09:30:00,Friday,Buy,1048.0,1043.35,4.65,22.6,4.86,31,Stop Loss,09
2023-03-30,09:30:00,Thursday,Buy,1967.51,1963.49,4.02,20.04,4.99,10,Stop Loss,09
2025-08-28,09:30:00,Thursday,Buy,3399.26,3388.52,10.74,432.05,40.23,133,End of Data,09
2015-03-20,09:30:00,Friday,Buy,1169.93,1168.46,1.47,62.37,42.43,330,Stop Loss,09
2009-10-06,09:30:00,Tuesday,Buy,1023.1,1017.2,5.9,2808.21,475.97,24668,End of Data,09
2025-03-11,09:30:00,Tuesday,Buy,2911.86,2893.13,18.73,919.45,49.09,859,End of Data,09
2013-10-02,09:30:00,Wednesday,Buy,1293.0,1285.63,7.37,36.93,5.01,39,Stop Loss,09
2023-07-11,09:30:00,Tuesday,Buy,1938.3,1928.51,9.79,49.07,5.01,109,Stop Loss,09
2011-11-03,09:30:00,Thursday,Buy,1735.28,1722.35,12.93,67.52,5.22,62,Stop Loss,09
2012-10-16,09:30:00,Tuesday,Buy,1739.01,1736.27,2.74,14.32,5.23,17,Stop Loss,09
2017-10-03,09:30:00,Tuesday,Buy,1271.08,1269.0,2.08,11.05,5.31,15,Stop Loss,09
2020-03-09,09:30:00,Monday,Buy,1665.16,1661.44,3.72,20.52,5.52,4,Stop Loss,09
2025-05-23,09:30:00,Friday,Buy,3328.89,3322.29,6.6,36.95,5.6,11,Stop Loss,09
2022-10-21,09:30:00,Friday,Buy,1625.48,1616.9,8.58,49.29,5.74,55,Stop Loss,09
2024-10-29,09:30:00,Tuesday,Buy,2752.49,2745.99,6.5,37.59,5.78,14,Stop Loss,09
2010-11-04,09:30:00,Thursday,Buy,1364.05,1353.6,10.45,60.45,5.78,49,Stop Loss,09
2011-03-17,09:30:00,Thursday,Buy,1401.8,1392.2,9.6,519.0,54.06,3211,Stop Loss,09
2025-03-13,09:30:00,Thursday,Buy,2947.72,2932.55,15.17,883.59,58.25,847,End of Data,09
2021-10-27,09:30:00,Wednesday,Buy,1786.96,1783.19,3.77,23.34,6.19,13,Stop Loss,09
2025-09-26,09:30:00,Friday,Buy,3751.69,3739.0,12.69,79.62,6.27,7,End of Data,09
2020-10-21,09:30:00,Wednesday,Buy,1916.56,1914.21,2.35,14.73,6.27,5,Stop Loss,09
2019-10-01,09:30:00,Tuesday,Buy,1467.06,1458.77,8.29,52.47,6.33,169,Stop Loss,09
2024-09-24,09:30:00,Tuesday,Buy,2630.92,2622.33,8.59,54.49,6.34,62,Stop Loss,09
2023-06-08,09:30:00,Thursday,Buy,1946.52,1942.44,4.08,26.49,6.49,20,Stop Loss,09
2014-09-22,09:30:00,Monday,Buy,1214.73,1211.53,3.2,20.81,6.5,17,Stop Loss,09
2011-03-18,09:30:00,Friday,Buy,1415.1,1410.25,4.85,32.6,6.72,37,Stop Loss,09
2014-10-21,09:30:00,Tuesday,Buy,1248.81,1247.86,0.95,6.39,6.73,1,Stop Loss,09
2016-09-22,09:30:00,Thursday,Buy,1332.56,1330.93,1.63,11.0,6.75,19,Stop Loss,09
2023-10-18,09:30:00,Wednesday,Buy,1944.39,1934.79,9.6,64.96,6.77,104,Stop Loss,09
2010-10-05,09:30:00,Tuesday,Buy,1325.65,1316.75,8.9,61.45,6.9,78,Stop Loss,09
2009-10-29,09:30:00,Thursday,Buy,1035.0,1030.55,4.45,2796.31,628.38,24566,End of Data,09
2018-09-28,09:30:00,Friday,Buy,1184.59,1180.44,4.15,2646.72,637.76,10805,End of Data,09
2025-04-11,09:30:00,Friday,Buy,3227.87,3189.65,38.22,272.24,7.12,133,Stop Loss,09
2023-04-03,09:30:00,Monday,Buy,1966.21,1950.5,15.71,113.27,7.21,223,Stop Loss,09
2013-10-24,09:30:00,Thursday,Buy,1337.19,1333.81,3.38,24.51,7.25,30,Stop Loss,09
2021-10-20,09:30:00,Wednesday,Buy,1779.01,1774.23,4.78,34.66,7.25,43,Stop Loss,09
2024-07-15,09:30:00,Monday,Buy,2410.83,2401.04,9.79,72.8,7.44,25,Stop Loss,09
2025-04-21,09:30:00,Monday,Buy,3395.07,3381.53,13.54,105.04,7.76,8,Stop Loss,09
2025-09-03,09:30:00,Wednesday,Buy,3534.4,3528.81,5.59,44.06,7.88,5,Stop Loss,09
2018-10-02,09:30:00,Tuesday,Buy,1192.55,1191.04,1.51,12.05,7.98,1,Stop Loss,09
2024-03-26,09:30:00,Tuesday,Buy,2190.99,2169.32,21.67,1640.32,75.7,2338,End of Data,09
2020-03-12,09:30:00,Thursday,Buy,1634.14,1633.05,1.09,8.82,8.09,1,Stop Loss,09
2025-06-10,09:30:00,Tuesday,Buy,3329.94,3315.17,14.77,121.18,8.2,61,Stop Loss,09
2014-03-14,09:30:00,Friday,Buy,1370.62,1368.02,2.6,21.35,8.21,9,Stop Loss,09
2025-09-08,09:30:00,Monday,Buy,3613.9,3589.05,24.85,217.41,8.75,91,End of Data,09
2025-08-20,09:30:00,Wednesday,Buy,3326.35,3320.63,5.72,504.96,88.28,169,End of Data,09
2025-03-27,09:30:00,Thursday,Buy,3040.16,3026.42,13.74,127.5,9.28,38,Stop Loss,09
2024-07-31,09:30:00,Wednesday,Buy,2421.13,2415.14,5.99,56.41,9.42,14,Stop Loss,09
2014-10-06,09:30:00,Monday,Buy,1193.75,1187.32,6.43,61.45,9.56,113,Stop Loss,09
2019-10-25,09:30:00,Friday,Buy,1504.86,1503.56,1.3,12.99,9.99,2,Stop Loss,09
2024-06-27,09:30:00,Thursday,Buy,2312.7,2296.23,16.47,1518.61,92.2,1942,End of Data,09
2025-08-27,09:30:00,Wednesday,Buy,3378.3,3373.46,4.84,453.01,93.6,139,End of Data,09
2009-03-09,09:30:00,Monday,Buy,937.8,932.58,5.22,2.38,SL,2,Stop Loss,09
2009-03-11,09:30:00,Wednesday,Buy,901.03,896.7,4.33,3.25,SL,1,Stop Loss,09
2009-03-18,09:30:00,Wednesday,Buy,911.93,908.68,3.25,1.27,SL,1,Stop Loss,09
2009-03-20,09:30:00,Friday,Buy,960.82,955.04,5.78,0.71,SL,1,Stop Loss,09
2009-09-28,09:30:00,Monday,Buy,991.6,985.8,5.8,5.05,SL,7,Stop Loss,09
2009-10-01,09:30:00,Thursday,Buy,1005.7,1003.7,2.0,1.95,SL,1,Stop Loss,09
2009-10-07,09:30:00,Wednesday,Buy,1047.25,1038.9,8.35,0.65,SL,1,Stop Loss,09
2009-10-13,09:30:00,Tuesday,Buy,1063.75,1053.0,10.75,6.85,SL,12,Stop Loss,09
2009-10-16,09:30:00,Friday,Buy,1049.2,1046.15,3.05,1.3,SL,1,Stop Loss,09
2009-10-19,09:30:00,Monday,Buy,1055.35,1050.15,5.2,1.15,SL,1,Stop Loss,09
2009-10-26,09:30:00,Monday,Buy,1056.2,1052.44,3.76,2.3,SL,1,Stop Loss,09
2010-03-17,09:30:00,Wednesday,Buy,1130.55,1126.5,4.05,2.8,SL,1,Stop Loss,09
2010-09-22,09:30:00,Wednesday,Buy,1292.55,1288.5,4.05,3.55,SL,2,Stop Loss,09
2010-09-24,09:30:00,Friday,Buy,1298.3,1289.1,9.2,1.8,SL,12,Stop Loss,09
2010-09-30,09:30:00,Thursday,Buy,1314.1,1307.1,7.0,1.7,SL,1,Stop Loss,09
2010-10-07,09:30:00,Thursday,Buy,1357.65,1351.27,6.38,3.92,SL,1,Stop Loss,09
2010-10-14,09:30:00,Thursday,Buy,1380.65,1378.45,2.2,2.1,SL,1,Stop Loss,09
2010-10-19,09:30:00,Tuesday,Buy,1368.15,1364.55,3.6,1.7,SL,1,Stop Loss,09
2010-10-20,09:30:00,Wednesday,Buy,1341.45,1337.4,4.05,1.1,SL,1,Stop Loss,09
2010-10-21,09:30:00,Thursday,Buy,1345.35,1340.65,4.7,2.65,SL,1,Stop Loss,09
2010-10-25,09:30:00,Monday,Buy,1345.3,1342.1,3.2,1.6,SL,1,Stop Loss,09
2010-11-02,09:30:00,Tuesday,Buy,1357.75,1355.2,2.55,2.2,SL,1,Stop Loss,09
2011-09-23,09:30:00,Friday,Buy,1729.11,1722.79,6.32,2.88,SL,1,Stop Loss,09
2011-09-27,09:30:00,Tuesday,Buy,1671.45,1646.0,25.45,4.45,SL,2,Stop Loss,09
2011-09-28,09:30:00,Wednesday,Buy,1656.85,1636.65,20.2,4.1,SL,2,Stop Loss,09
2011-09-30,09:30:00,Friday,Buy,1629.3,1621.15,8.15,3.3,SL,1,Stop Loss,09
2011-10-03,09:30:00,Monday,Buy,1660.05,1632.15,27.9,19.0,SL,8,Stop Loss,09
2011-10-06,09:30:00,Thursday,Buy,1650.95,1639.05,11.9,3.95,SL,1,Stop Loss,09
2011-10-12,09:30:00,Wednesday,Buy,1685.1,1665.85,19.25,7.05,SL,7,Stop Loss,09
2011-10-13,09:30:00,Thursday,Buy,1672.05,1669.71,2.34,1.85,SL,1,Stop Loss,09
2011-10-14,09:30:00,Friday,Buy,1675.8,1667.9,7.9,7.85,SL,2,Stop Loss,09
2011-10-17,09:30:00,Monday,Buy,1687.6,1677.35,10.25,1.65,SL,2,Stop Loss,09
2011-10-20,09:30:00,Thursday,Buy,1629.83,1606.2,23.63,0.27,SL,2,Stop Loss,09
2011-10-25,09:30:00,Tuesday,Buy,1658.97,1653.25,5.72,4.98,SL,1,Stop Loss,09
2011-10-31,09:30:00,Monday,Buy,1718.2,1703.98,14.22,9.6,SL,7,Stop Loss,09
2012-03-12,09:30:00,Monday,Buy,1706.5,1702.03,4.47,0.9,SL,1,Stop Loss,09
2012-10-04,09:30:00,Thursday,Buy,1788.65,1780.25,8.4,7.15,SL,7,Stop Loss,09
2012-10-11,09:30:00,Thursday,Buy,1769.25,1762.65,6.6,5.5,SL,8,Stop Loss,09
2012-10-15,09:30:00,Monday,Buy,1746.38,1741.86,4.52,2.27,SL,1,Stop Loss,09
2012-10-24,09:30:00,Wednesday,Buy,1710.0,1705.71,4.29,2.53,SL,1,Stop Loss,09
2012-10-25,09:30:00,Thursday,Buy,1715.28,1710.41,4.87,2.55,SL,2,Stop Loss,09
2012-10-30,09:30:00,Tuesday,Buy,1713.55,1708.37,5.18,1.49,SL,4,Stop Loss,09
2013-03-14,09:30:00,Thursday,Buy,1588.25,1585.55,2.7,0.05,SL,1,Stop Loss,09
2013-10-01,09:30:00,Tuesday,Buy,1332.18,1328.53,3.65,0.55,SL,1,Stop Loss,09
2013-10-18,09:30:00,Friday,Buy,1321.48,1315.41,6.07,0.68,SL,1,Stop Loss,09
2014-03-11,09:30:00,Tuesday,Buy,1347.7,1340.69,7.01,4.8,SL,2,Stop Loss,09
