date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,distance_rounded
2024-08-14,13:30:00,Wednesday,Sell,2457.15,2480.2,23.1,25.07,1.09,12,Stop Loss,23
2021-06-17,14:30:00,Thursday,Sell,1782.92,1806.55,23.6,32.34,1.37,76,Stop Loss,23
2012-04-03,22:30:00,Tuesday,Sell,1645.75,1669.4,23.6,33.51,1.42,39,Stop Loss,23
2013-05-16,10:30:00,Thursday,Sell,1373.32,1396.79,23.5,35.26,1.5,14,Stop Loss,23
2023-06-20,13:30:00,Tuesday,Sell,1931.65,1954.67,23.0,38.77,1.68,96,Stop Loss,23
2025-02-27,14:30:00,Thursday,Sell,2871.71,2894.89,23.2,39.29,1.69,14,Stop Loss,23
2013-04-16,14:30:00,Tuesday,Sell,1380.5,1403.79,23.3,44.35,1.9,16,Stop Loss,23
2025-06-27,05:30:00,Friday,Sell,3297.08,3320.46,23.4,50.24,2.15,11,Stop Loss,23
2024-07-24,17:30:00,Wednesday,Sell,2408.91,2432.15,23.2,55.93,2.41,31,Stop Loss,23
2025-04-23,09:30:00,Wednesday,Sell,3317.4,3340.64,23.2,57.33,2.47,4,Stop Loss,23
2024-04-22,13:30:00,Monday,Sell,2338.26,2361.6,23.3,61.18,2.62,83,Stop Loss,23
2024-12-13,10:30:00,Friday,Sell,2666.34,2690.28,23.9,84.12,3.51,106,Stop Loss,23
2020-09-21,09:30:00,Monday,Sell,1931.34,1954.81,23.5,82.85,3.53,205,Stop Loss,23
2020-03-13,13:30:00,Friday,Sell,1574.48,1598.05,23.6,123.4,5.24,42,Stop Loss,23
2024-05-20,13:30:00,Monday,Sell,2419.96,2443.15,23.2,133.32,5.75,245,Stop Loss,23
2025-04-03,05:30:00,Thursday,Sell,3131.65,3155.46,23.8,175.43,7.37,33,Stop Loss,23
2025-04-22,21:30:00,Tuesday,Sell,3379.18,3402.59,23.4,177.31,7.57,59,Stop Loss,23
2024-11-01,17:30:00,Friday,Sell,2736.02,2759.02,23.0,199.33,8.67,331,Stop Loss,23
2010-02-04,18:30:00,Thursday,Sell,1060.25,1084.15,23.9,16.15,SL,29,Stop Loss,23
2012-03-06,14:30:00,Tuesday,Sell,1668.59,1691.73,23.1,3.47,SL,11,Stop Loss,23
2012-05-24,18:30:00,Thursday,Sell,1551.64,1575.12,23.5,0.43,SL,8,Stop Loss,23
2013-04-03,18:30:00,Wednesday,Sell,1552.94,1576.81,23.9,12.89,SL,12,Stop Loss,23
2020-11-04,02:30:00,Wednesday,Sell,1893.2,1916.48,23.3,6.3,SL,8,Stop Loss,23
2020-11-30,02:30:00,Monday,Sell,1766.46,1789.89,23.4,2.1,SL,8,Stop Loss,23
2021-01-28,18:30:00,Thursday,Sell,1840.4,1864.21,23.8,0.97,SL,5,Stop Loss,23
2024-04-17,17:30:00,Wednesday,Sell,2371.94,2395.69,23.8,17.96,SL,8,Stop Loss,23
2024-05-31,17:30:00,Friday,Sell,2325.68,2349.18,23.5,11.12,SL,6,Stop Loss,23
2024-08-01,17:30:00,Thursday,Sell,2439.08,2462.42,23.3,4.27,SL,3,Stop Loss,23
2024-09-06,17:30:00,Friday,Sell,2495.26,2518.69,23.4,9.86,SL,14,Stop Loss,23
2024-11-25,18:30:00,Monday,Sell,2618.55,2641.75,23.2,13.42,SL,5,Stop Loss,23
2025-03-06,10:30:00,Thursday,Sell,2898.96,2922.57,23.6,2.65,SL,6,Stop Loss,23
2025-04-14,13:30:00,Monday,Sell,3204.55,3227.8,23.2,9.31,SL,4,Stop Loss,23
2025-09-04,05:30:00,Thursday,Sell,3527.02,3550.7,23.7,2.69,SL,2,Stop Loss,23
