date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,distance_rounded
2015-10-02,13:30:00,Friday,Buy,1138.56,1104.29,34.27,52.86,1.54,146,Stop Loss,34
2025-04-21,13:30:00,Monday,Buy,3420.55,3386.39,34.16,79.56,2.33,7,Stop Loss,34
2025-04-09,21:30:00,Wednesday,Buy,3082.76,3048.37,34.39,748.55,21.77,730,End of Data,34
2022-11-08,18:30:00,Tuesday,Buy,1712.99,1678.38,34.61,2118.32,61.21,4462,End of Data,34
2020-03-24,10:30:00,Tuesday,Buy,1591.3,1557.21,34.09,2240.01,65.71,8531,End of Data,34
2011-08-09,10:30:00,Tuesday,Buy,1766.99,1732.3,34.69,5.16,SL,1,Stop Loss,34
2020-07-28,02:30:00,Tuesday,Buy,1971.73,1937.69,34.04,5.53,SL,1,Stop Loss,34
2021-08-27,18:30:00,Friday,Buy,1818.07,1783.6,34.47,15.77,SL,46,Stop Loss,34
2024-04-23,13:30:00,Tuesday,Buy,2329.46,2295.13,34.33,23.05,SL,31,Stop Loss,34
