date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,distance_rounded
2025-05-02,05:30:00,Friday,Buy,3252.14,3235.68,16.5,16.89,1.03,3,Stop Loss,16
2022-11-14,14:30:00,Monday,Buy,1769.21,1752.96,16.2,17.21,1.06,24,Stop Loss,16
2010-11-10,18:30:00,Wednesday,Buy,1400.1,1383.8,16.3,17.65,1.08,9,Stop Loss,16
2022-08-23,14:30:00,Tuesday,Buy,1747.18,1730.51,16.7,18.18,1.09,21,Stop Loss,16
2021-05-28,14:30:00,Friday,Buy,1898.32,1881.85,16.5,18.15,1.1,23,Stop Loss,16
2024-02-01,14:30:00,Thursday,Buy,2046.09,2029.57,16.5,19.2,1.16,6,Stop Loss,16
2011-12-07,14:30:00,Wednesday,Buy,1736.45,1719.69,16.8,19.55,1.17,6,Stop Loss,16
2024-06-20,13:30:00,Thursday,Buy,2349.41,2333.19,16.2,19.21,1.18,7,Stop Loss,16
2024-12-11,14:30:00,Wednesday,Buy,2706.55,2690.24,16.3,19.4,1.19,6,Stop Loss,16
2023-01-23,18:30:00,Monday,Buy,1927.88,1911.05,16.8,21.19,1.26,34,Stop Loss,16
2011-11-07,14:30:00,Monday,Buy,1781.66,1765.11,16.6,21.14,1.28,14,Stop Loss,16
2021-03-09,14:30:00,Tuesday,Buy,1717.83,1701.39,16.4,21.96,1.34,17,Stop Loss,16
2025-06-25,17:30:00,Wednesday,Buy,3328.16,3311.75,16.4,21.96,1.34,5,Stop Loss,16
2012-05-23,22:30:00,Wednesday,Buy,1561.4,1545.24,16.2,22.5,1.39,26,Stop Loss,16
2013-12-04,14:30:00,Wednesday,Buy,1227.98,1211.59,16.4,23.71,1.45,12,Stop Loss,16
2025-05-27,17:30:00,Tuesday,Buy,3301.38,3285.26,16.1,24.0,1.49,7,Stop Loss,16
2015-04-01,14:30:00,Wednesday,Buy,1197.05,1180.59,16.5,27.1,1.65,102,Stop Loss,16
2022-06-01,14:30:00,Wednesday,Buy,1845.46,1828.63,16.8,28.53,1.7,42,Stop Loss,16
2022-04-28,10:30:00,Thursday,Buy,1889.75,1873.3,16.4,30.02,1.82,13,Stop Loss,16
2020-05-27,18:30:00,Wednesday,Buy,1713.16,1696.23,16.9,32.01,1.89,30,Stop Loss,16
2023-05-05,17:30:00,Friday,Buy,2015.6,1999.16,16.4,32.49,1.98,42,Stop Loss,16
2025-04-17,21:30:00,Thursday,Buy,3326.83,3310.74,16.1,173.28,10.77,15,Stop Loss,16
2024-02-16,18:30:00,Friday,Buy,2013.96,1997.3,16.7,1817.35,109.08,2498,End of Data,16
2024-03-01,10:30:00,Friday,Buy,2054.96,2038.76,16.2,1776.35,109.65,2440,End of Data,16
2023-03-13,13:30:00,Monday,Buy,1896.76,1880.55,16.2,182.72,11.27,847,Stop Loss,16
2023-11-13,18:30:00,Monday,Buy,1947.93,1931.26,16.7,1883.38,112.98,2897,End of Data,16
2023-10-18,01:30:00,Wednesday,Buy,1939.16,1922.78,16.4,1892.15,115.52,3009,End of Data,16
2023-10-09,01:30:00,Monday,Buy,1849.07,1832.24,16.8,1982.24,117.78,3051,End of Data,16
