date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,distance_rounded
2021-09-23,13:30:00,Thursday,Sell,1750.92,1776.66,25.7,29.4,1.14,66,Stop Loss,25
2012-02-03,14:30:00,Friday,Sell,1736.7,1762.2,25.5,32.16,1.26,79,Stop Loss,25
2011-08-25,06:30:00,Thursday,Sell,1736.77,1762.45,25.7,33.87,1.32,3,Stop Loss,25
2022-09-15,18:30:00,Thursday,Sell,1665.32,1691.01,25.7,50.68,1.97,72,Stop Loss,25
2023-03-20,09:30:00,Monday,Sell,1984.49,2009.91,25.4,50.33,1.98,68,Stop Loss,25
2024-09-26,13:30:00,Thursday,Sell,2660.33,2685.61,25.3,58.52,2.31,89,Stop Loss,25
2019-09-25,17:30:00,Wednesday,Sell,1505.35,1530.59,25.2,59.84,2.37,407,Stop Loss,25
2025-02-25,18:30:00,Tuesday,Sell,2909.1,2934.99,25.9,76.68,2.96,66,Stop Loss,25
2012-05-08,14:30:00,Tuesday,Sell,1605.1,1630.15,25.1,78.26,3.12,110,Stop Loss,25
2025-06-05,13:30:00,Thursday,Sell,3377.85,3403.43,25.6,84.15,3.29,33,Stop Loss,25
2010-01-12,18:30:00,Tuesday,Sell,1128.49,1153.69,25.2,84.39,3.35,371,Stop Loss,25
2022-09-13,14:30:00,Tuesday,Sell,1706.3,1731.86,25.6,91.66,3.59,252,Stop Loss,25
2021-02-24,14:30:00,Wednesday,Sell,1785.33,1810.45,25.1,108.64,4.32,302,Stop Loss,25
2025-04-25,01:30:00,Friday,Sell,3345.13,3370.49,25.4,143.26,5.65,42,Stop Loss,25
2025-06-16,05:30:00,Monday,Sell,3421.33,3446.47,25.1,174.49,6.94,327,Stop Loss,25
2015-02-06,14:30:00,Friday,Sell,1242.0,1267.0,25.0,195.77,7.83,1658,Stop Loss,25
2021-01-06,14:30:00,Wednesday,Sell,1932.08,1957.95,25.9,255.39,9.87,1762,Stop Loss,25
2011-08-19,14:30:00,Friday,Sell,1852.95,1878.15,25.2,15.87,SL,3,Stop Loss,25
2011-09-15,14:30:00,Thursday,Sell,1786.65,1811.7,25.1,24.25,SL,7,Stop Loss,25
2011-10-07,17:30:00,Friday,Sell,1634.15,1660.05,25.9,2.35,SL,4,Stop Loss,25
2013-07-17,18:30:00,Wednesday,Sell,1275.8,1300.85,25.1,1.8,SL,14,Stop Loss,25
2013-10-11,13:30:00,Friday,Sell,1266.04,1291.35,25.3,14.5,SL,23,Stop Loss,25
2020-04-30,18:30:00,Thursday,Sell,1683.56,1708.82,25.3,13.94,SL,11,Stop Loss,25
2020-08-12,22:30:00,Wednesday,Sell,1914.82,1940.25,25.4,2.19,SL,1,Stop Loss,25
2022-02-25,14:30:00,Friday,Sell,1888.65,1913.97,25.3,5.92,SL,3,Stop Loss,25
2023-06-07,17:30:00,Wednesday,Sell,1944.24,1969.84,25.6,4.84,SL,6,Stop Loss,25
2024-07-25,01:30:00,Thursday,Sell,2376.08,2401.25,25.2,23.1,SL,12,Stop Loss,25
2025-02-03,02:30:00,Monday,Sell,2777.89,2803.46,25.6,5.87,SL,3,Stop Loss,25
2025-02-07,18:30:00,Friday,Sell,2860.97,2886.76,25.8,5.07,SL,3,Stop Loss,25
2025-04-25,13:30:00,Friday,Sell,3280.47,3306.35,25.9,10.32,SL,2,Stop Loss,25
2025-05-06,05:30:00,Tuesday,Sell,3361.69,3387.26,25.6,3.12,SL,2,Stop Loss,25
2025-05-12,17:30:00,Monday,Sell,3222.91,3247.91,25.0,7.08,SL,3,Stop Loss,25
2025-06-09,01:30:00,Monday,Sell,3295.66,3321.3,25.6,1.96,SL,2,Stop Loss,25
