date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,distance_rounded
2011-11-11,02:30:00,Friday,Buy,1766.5,1743.78,22.72,29.52,1.3,27,Stop Loss,22
2025-04-16,17:30:00,Wednesday,Buy,3327.74,3305.01,22.73,30.09,1.32,6,Stop Loss,22
2021-03-12,18:30:00,Friday,Buy,1724.58,1701.65,22.93,30.84,1.34,70,Stop Loss,22
2023-07-12,13:30:00,Wednesday,Buy,1956.18,1933.2,22.98,31.19,1.36,91,Stop Loss,22
2024-08-16,17:30:00,Friday,Buy,2499.84,2477.12,22.72,31.75,1.4,24,Stop Loss,22
2013-12-06,14:30:00,Friday,Buy,1234.08,1211.24,22.84,33.67,1.47,53,Stop Loss,22
2013-08-23,18:30:00,Friday,Buy,1396.74,1374.59,22.15,36.87,1.66,32,Stop Loss,22
2023-05-03,21:30:00,Wednesday,Buy,2038.97,2016.75,22.22,40.51,1.82,10,Stop Loss,22
2025-09-01,05:30:00,Monday,Buy,3477.46,3454.85,22.61,353.85,15.65,122,End of Data,22
2010-06-04,18:30:00,Friday,Buy,1218.65,1196.2,22.45,46.45,2.07,111,Stop Loss,22
2011-09-02,14:30:00,Friday,Buy,1871.76,1849.65,22.11,49.04,2.22,15,Stop Loss,22
2025-03-31,05:30:00,Monday,Buy,3116.67,3093.7,22.97,50.99,2.22,20,Stop Loss,22
2011-11-03,13:30:00,Thursday,Buy,1753.04,1730.9,22.14,49.76,2.25,61,Stop Loss,22
2011-09-07,18:30:00,Wednesday,Buy,1815.04,1792.4,22.64,71.01,3.14,22,Stop Loss,22
2024-07-30,17:30:00,Tuesday,Buy,2405.88,2383.1,22.78,71.66,3.15,23,Stop Loss,22
2024-11-20,14:30:00,Wednesday,Buy,2643.24,2621.16,22.08,78.04,3.53,19,Stop Loss,22
2013-10-15,13:30:00,Tuesday,Buy,1274.17,1251.34,22.83,87.53,3.83,158,Stop Loss,22
2011-11-01,17:30:00,Tuesday,Buy,1714.3,1691.85,22.45,88.5,3.94,84,Stop Loss,22
2011-08-18,14:30:00,Thursday,Buy,1817.05,1794.94,22.11,95.05,4.3,25,Stop Loss,22
2022-03-04,18:30:00,Friday,Buy,1965.12,1942.25,22.87,105.23,4.6,38,Stop Loss,22
2025-03-12,17:30:00,Wednesday,Buy,2936.15,2914.07,22.08,895.16,40.54,851,End of Data,22
2025-01-21,14:30:00,Tuesday,Buy,2738.32,2716.22,22.1,1092.99,49.46,1068,End of Data,22
2025-01-21,02:30:00,Tuesday,Buy,2724.82,2702.53,22.29,1106.49,49.64,1071,End of Data,22
2025-09-19,17:30:00,Friday,Buy,3678.71,3656.12,22.59,152.6,6.76,35,End of Data,22
2023-10-13,17:30:00,Friday,Buy,1928.44,1906.21,22.23,1902.87,85.6,3023,End of Data,22
2025-05-01,13:30:00,Thursday,Buy,3224.1,3201.67,22.43,210.95,9.4,54,Stop Loss,22
2009-03-25,14:30:00,Wednesday,Buy,939.25,916.9,22.35,6.3,SL,18,Stop Loss,22
2011-08-04,14:30:00,Thursday,Buy,1681.22,1658.95,22.27,0.87,SL,1,Stop Loss,22
2011-08-26,10:30:00,Friday,Buy,1788.15,1765.18,22.97,7.0,SL,1,Stop Loss,22
2011-11-15,14:30:00,Tuesday,Buy,1783.37,1760.72,22.65,2.23,SL,6,Stop Loss,22
2011-11-16,18:30:00,Wednesday,Buy,1775.62,1753.0,22.62,1.03,SL,5,Stop Loss,22
2013-12-04,18:30:00,Wednesday,Buy,1246.77,1224.47,22.3,0.59,SL,5,Stop Loss,22
2016-02-18,18:30:00,Thursday,Buy,1232.38,1209.62,22.76,7.39,SL,10,Stop Loss,22
2019-09-06,14:30:00,Friday,Buy,1524.59,1502.26,22.33,0.39,SL,7,Stop Loss,22
2020-03-16,21:30:00,Monday,Buy,1509.32,1487.01,22.31,9.87,SL,2,Stop Loss,22
2021-06-04,14:30:00,Friday,Buy,1891.28,1868.32,22.96,12.43,SL,33,Stop Loss,22
2023-03-23,17:30:00,Thursday,Buy,1999.69,1977.39,22.3,3.54,SL,6,Stop Loss,22
2023-06-08,13:30:00,Thursday,Buy,1966.71,1944.61,22.1,6.3,SL,19,Stop Loss,22
2024-01-05,14:30:00,Friday,Buy,2046.89,2024.08,22.81,16.94,SL,6,Stop Loss,22
2024-04-01,01:30:00,Monday,Buy,2255.95,2233.49,22.46,9.63,SL,4,Stop Loss,22
2025-05-13,17:30:00,Tuesday,Buy,3247.25,3225.2,22.05,9.74,SL,3,Stop Loss,22
2025-05-19,09:30:00,Monday,Buy,3242.15,3219.95,22.2,6.37,SL,2,Stop Loss,22
2025-09-09,13:30:00,Tuesday,Buy,3666.28,3643.44,22.84,8.13,SL,1,Stop Loss,22
