date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,distance_rounded
2013-03-26,10:30:00,Tuesday,Sell,1597.55,1603.74,6.19,6.22,1.0,8,Stop Loss,6
2015-01-07,18:30:00,Wednesday,Sell,1210.52,1216.55,6.03,6.03,1.0,6,Stop Loss,6
2016-06-06,02:30:00,Monday,Sell,1241.76,1248.75,6.99,7.12,1.02,13,Stop Loss,6
2016-02-19,02:30:00,Friday,Sell,1226.32,1232.71,6.39,6.49,1.02,3,Stop Loss,6
2020-06-24,22:30:00,Wednesday,Sell,1761.01,1767.88,6.87,7.11,1.03,3,Stop Loss,6
2014-10-23,17:30:00,Thursday,Sell,1228.91,1235.21,6.3,6.54,1.04,17,Stop Loss,6
2023-02-07,10:30:00,Tuesday,Sell,1871.6,1878.08,6.48,6.75,1.04,2,Stop Loss,6
2024-04-29,01:30:00,Monday,Sell,2330.65,2337.47,6.82,7.18,1.05,2,Stop Loss,6
2017-02-01,14:30:00,Wednesday,Sell,1205.09,1211.77,6.68,7.03,1.05,3,Stop Loss,6
2014-11-14,06:30:00,Friday,Sell,1153.83,1160.55,6.72,7.08,1.05,3,Stop Loss,6
2015-06-11,10:30:00,Thursday,Sell,1180.06,1187.04,6.98,7.38,1.06,14,Stop Loss,6
2024-07-15,05:30:00,Monday,Sell,2407.89,2414.14,6.25,6.65,1.06,2,Stop Loss,6
2015-10-08,01:30:00,Thursday,Sell,1143.55,1150.18,6.63,7.02,1.06,5,Stop Loss,6
2012-01-06,10:30:00,Friday,Sell,1620.9,1627.85,6.95,7.45,1.07,1,Stop Loss,6
2010-03-29,18:30:00,Monday,Sell,1108.44,1114.84,6.4,6.84,1.07,11,Stop Loss,6
2011-10-28,09:30:00,Friday,Sell,1738.36,1744.65,6.29,6.76,1.07,1,Stop Loss,6
2014-02-28,14:30:00,Friday,Sell,1326.57,1332.99,6.42,7.02,1.09,3,Stop Loss,6
2023-01-18,02:30:00,Wednesday,Sell,1903.78,1910.48,6.7,7.3,1.09,2,Stop Loss,6
2015-09-03,18:30:00,Thursday,Sell,1123.96,1130.77,6.81,7.47,1.1,5,Stop Loss,6
2022-09-16,02:30:00,Friday,Sell,1661.28,1667.78,6.5,7.23,1.11,4,Stop Loss,6
2024-02-12,10:30:00,Monday,Sell,2020.65,2027.37,6.72,7.55,1.12,1,Stop Loss,6
2012-01-11,10:30:00,Wednesday,Sell,1640.8,1647.3,6.5,7.33,1.13,6,Stop Loss,6
2024-03-25,17:30:00,Monday,Sell,2174.44,2180.58,6.14,6.92,1.13,4,Stop Loss,6
2020-09-09,06:30:00,Wednesday,Sell,1927.67,1934.52,6.85,7.78,1.14,2,Stop Loss,6
2021-07-13,06:30:00,Tuesday,Sell,1806.21,1812.93,6.72,7.65,1.14,2,Stop Loss,6
2017-01-18,22:30:00,Wednesday,Sell,1203.49,1210.3,6.81,7.74,1.14,12,Stop Loss,6
2022-02-01,14:30:00,Tuesday,Sell,1802.04,1808.84,6.8,7.75,1.14,7,Stop Loss,6
2014-09-19,18:30:00,Friday,Sell,1215.13,1221.47,6.34,7.25,1.14,10,Stop Loss,6
2021-03-05,10:30:00,Friday,Sell,1694.32,1700.53,6.21,7.1,1.14,1,Stop Loss,6
2011-12-16,10:30:00,Friday,Sell,1589.7,1595.75,6.05,6.94,1.15,1,Stop Loss,6
2010-01-14,10:30:00,Thursday,Sell,1137.74,1143.94,6.2,7.1,1.15,2,Stop Loss,6
2019-07-24,18:30:00,Wednesday,Sell,1422.85,1429.61,6.76,7.75,1.15,5,Stop Loss,6
2016-12-05,14:30:00,Monday,Sell,1164.11,1170.21,6.1,7.14,1.17,1,Stop Loss,6
2015-03-10,05:30:00,Tuesday,Sell,1162.52,1168.87,6.35,7.4,1.17,2,Stop Loss,6
2024-05-21,05:30:00,Tuesday,Sell,2416.23,2422.76,6.53,7.8,1.19,2,Stop Loss,6
2022-05-17,22:30:00,Tuesday,Sell,1814.7,1820.92,6.22,7.47,1.2,5,Stop Loss,6
2014-12-11,06:30:00,Thursday,Sell,1223.53,1229.99,6.46,7.77,1.2,3,Stop Loss,6
2017-05-23,18:30:00,Tuesday,Sell,1256.08,1263.01,6.93,8.33,1.2,16,Stop Loss,6
2015-01-22,06:30:00,Thursday,Sell,1286.89,1293.78,6.89,8.33,1.21,2,Stop Loss,6
2022-06-23,10:30:00,Thursday,Sell,1831.67,1838.22,6.55,7.91,1.21,1,Stop Loss,6
2020-04-29,14:30:00,Wednesday,Sell,1705.9,1712.22,6.32,7.64,1.21,2,Stop Loss,6
2011-09-01,02:30:00,Thursday,Sell,1822.55,1829.05,6.5,7.9,1.22,3,Stop Loss,6
2017-08-15,02:30:00,Tuesday,Sell,1275.39,1282.07,6.68,8.18,1.22,11,Stop Loss,6
2011-09-16,06:30:00,Friday,Sell,1770.85,1777.4,6.55,7.98,1.22,1,Stop Loss,6
2016-03-24,22:30:00,Thursday,Sell,1216.51,1223.26,6.75,8.31,1.23,10,Stop Loss,6
2023-04-28,05:30:00,Friday,Sell,1984.45,1991.27,6.82,8.43,1.24,3,Stop Loss,6
2022-05-27,14:30:00,Friday,Sell,1855.81,1862.1,6.29,7.81,1.24,4,Stop Loss,6
2024-06-10,05:30:00,Monday,Sell,2295.35,2301.58,6.23,7.72,1.24,2,Stop Loss,6
2012-02-27,06:30:00,Monday,Sell,1769.92,1776.75,6.83,8.6,1.26,3,Stop Loss,6
2017-11-15,14:30:00,Wednesday,Sell,1283.23,1289.66,6.43,8.21,1.28,13,Stop Loss,6
