date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,distance_rounded
2011-12-06,18:30:00,Tuesday,Buy,1725.66,1701.7,24.0,30.34,1.27,21,Stop Loss,24
2022-10-21,13:30:00,Friday,Buy,1642.82,1618.85,24.0,31.95,1.33,54,Stop Loss,24
2023-03-22,21:30:00,Wednesday,Buy,1969.85,1945.47,24.4,33.38,1.37,16,Stop Loss,24
2023-01-31,14:30:00,Tuesday,Buy,1924.71,1900.46,24.2,34.9,1.44,18,Stop Loss,24
2020-03-24,14:30:00,Tuesday,Buy,1598.87,1574.45,24.4,44.09,1.81,32,Stop Loss,24
2011-09-08,02:30:00,Thursday,Buy,1837.9,1813.16,24.7,48.15,1.95,16,Stop Loss,24
2021-12-15,22:30:00,Wednesday,Buy,1776.41,1752.15,24.3,293.94,12.12,860,Stop Loss,24
2025-08-29,13:30:00,Friday,Buy,3428.63,3404.04,24.6,402.68,16.38,126,End of Data,24
2025-05-06,09:30:00,Tuesday,Buy,3383.32,3358.37,24.9,51.73,2.07,11,Stop Loss,24
2025-05-16,17:30:00,Friday,Buy,3189.59,3165.51,24.1,641.72,26.65,575,End of Data,24
2024-04-11,17:30:00,Thursday,Buy,2356.41,2332.0,24.4,74.97,3.07,12,Stop Loss,24
2020-08-13,02:30:00,Thursday,Buy,1937.07,1912.43,24.6,78.53,3.19,39,Stop Loss,24
2025-02-07,14:30:00,Friday,Buy,2876.35,2852.1,24.2,79.78,3.29,89,Stop Loss,24
2013-04-18,10:30:00,Thursday,Buy,1396.45,1371.85,24.6,91.55,3.72,120,Stop Loss,24
2021-10-13,13:30:00,Wednesday,Buy,1781.72,1757.54,24.2,95.23,3.94,270,Stop Loss,24
2021-05-06,14:30:00,Thursday,Buy,1812.76,1787.93,24.8,103.71,4.18,179,Stop Loss,24
2013-04-18,06:30:00,Thursday,Buy,1372.95,1348.78,24.2,115.05,4.76,131,Stop Loss,24
2011-08-15,18:30:00,Monday,Buy,1761.05,1736.65,24.4,151.05,6.19,45,Stop Loss,24
2012-01-05,18:30:00,Thursday,Buy,1622.73,1598.21,24.5,167.82,6.85,527,Stop Loss,24
2023-10-13,13:30:00,Friday,Buy,1910.71,1886.34,24.4,1920.6,78.81,3024,End of Data,24
2025-09-08,09:30:00,Monday,Buy,3613.9,3589.05,24.9,217.41,8.75,91,End of Data,24
2011-12-15,10:30:00,Thursday,Buy,1589.2,1564.5,24.7,4.8,SL,2,Stop Loss,24
2012-06-01,18:30:00,Friday,Buy,1626.0,1601.05,24.9,14.8,SL,24,Stop Loss,24
2020-05-07,18:30:00,Thursday,Buy,1719.81,1695.06,24.8,3.73,SL,11,Stop Loss,24
2022-03-01,18:30:00,Tuesday,Buy,1942.04,1917.6,24.4,8.0,SL,4,Stop Loss,24
2024-05-01,21:30:00,Wednesday,Buy,2319.18,2294.53,24.6,7.16,SL,4,Stop Loss,24
2024-07-16,17:30:00,Tuesday,Buy,2464.76,2440.25,24.5,18.87,SL,13,Stop Loss,24
2024-08-20,09:30:00,Tuesday,Buy,2521.83,2497.09,24.7,9.76,SL,8,Stop Loss,24
2025-04-03,17:30:00,Thursday,Buy,3109.67,3084.88,24.8,9.73,SL,4,Stop Loss,24
2025-06-04,01:30:00,Wednesday,Buy,3370.81,3346.2,24.6,1.7,SL,3,Stop Loss,24
2025-06-23,13:30:00,Monday,Buy,3380.43,3355.61,24.8,12.97,SL,3,Stop Loss,24
2025-07-22,17:30:00,Tuesday,Buy,3429.5,3404.85,24.6,9.29,SL,6,Stop Loss,24
2025-09-24,05:30:00,Wednesday,Buy,3775.07,3750.4,24.7,4.07,SL,3,Stop Loss,24
