date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,distance_rounded
2022-01-27,18:30:00,Thursday,Sell,1793.95,1807.68,13.73,13.77,1.0,17,Stop Loss,13
2020-03-26,02:30:00,Thursday,Sell,1602.14,1616.07,13.93,14.44,1.04,3,Stop Loss,13
2022-07-22,18:30:00,Friday,Sell,1725.74,1739.4,13.66,14.36,1.05,19,Stop Loss,13
2022-03-22,10:30:00,Tuesday,Sell,1924.78,1938.31,13.53,14.46,1.07,9,Stop Loss,13
2010-07-27,14:30:00,Tuesday,Sell,1171.75,1185.7,13.95,15.05,1.08,24,Stop Loss,13
2024-05-21,01:30:00,Tuesday,Sell,2420.08,2433.26,13.18,14.25,1.08,4,Stop Loss,13
2025-03-31,09:30:00,Monday,Sell,3114.62,3128.07,13.45,15.11,1.12,4,Stop Loss,13
2009-04-16,14:30:00,Thursday,Sell,880.71,894.17,13.46,15.74,1.17,18,Stop Loss,13
2020-08-26,06:30:00,Wednesday,Sell,1918.55,1931.61,13.06,16.01,1.23,2,Stop Loss,13
2023-03-15,17:30:00,Wednesday,Sell,1924.07,1937.48,13.41,16.65,1.24,11,Stop Loss,13
2024-01-23,10:30:00,Tuesday,Sell,2024.81,2037.97,13.16,16.56,1.26,30,Stop Loss,13
2011-08-26,14:30:00,Friday,Sell,1781.52,1795.35,13.83,17.62,1.27,1,Stop Loss,13
2025-06-06,21:30:00,Friday,Sell,3310.84,3324.12,13.28,17.14,1.29,3,Stop Loss,13
2021-11-23,10:30:00,Tuesday,Sell,1796.43,1809.92,13.49,18.06,1.34,17,Stop Loss,13
2025-02-12,10:30:00,Wednesday,Sell,2882.39,2895.85,13.46,18.49,1.37,1,Stop Loss,13
2024-11-27,18:30:00,Wednesday,Sell,2638.61,2651.61,13.0,17.78,1.37,8,Stop Loss,13
2023-01-16,06:30:00,Monday,Sell,1915.54,1929.09,13.55,19.06,1.41,22,Stop Loss,13
2020-02-25,18:30:00,Tuesday,Sell,1644.61,1658.57,13.96,19.87,1.42,12,Stop Loss,13
2009-04-06,02:30:00,Monday,Sell,884.19,897.23,13.04,18.7,1.43,32,Stop Loss,13
2025-05-19,17:30:00,Monday,Sell,3226.1,3239.9,13.8,21.53,1.56,5,Stop Loss,13
2021-07-16,18:30:00,Friday,Sell,1812.52,1826.25,13.73,23.04,1.68,53,Stop Loss,13
2022-10-11,21:30:00,Tuesday,Sell,1666.09,1679.17,13.08,23.86,1.82,10,Stop Loss,13
2025-02-06,06:30:00,Thursday,Sell,2858.86,2872.39,13.53,24.78,1.83,8,Stop Loss,13
2024-09-17,09:30:00,Tuesday,Sell,2573.36,2586.98,13.62,26.58,1.95,9,Stop Loss,13
2021-01-15,18:30:00,Friday,Sell,1828.11,1841.67,13.56,26.64,1.96,8,Stop Loss,13
2011-08-24,06:30:00,Wednesday,Sell,1840.66,1854.05,13.39,137.76,10.29,43,Stop Loss,13
2022-08-15,10:30:00,Monday,Sell,1779.27,1793.07,13.8,164.63,11.93,468,Stop Loss,13
2024-11-08,02:30:00,Friday,Sell,2697.19,2710.48,13.29,160.5,12.08,64,Stop Loss,13
2015-02-11,14:30:00,Wednesday,Sell,1224.42,1238.25,13.83,178.19,12.88,1548,Stop Loss,13
2021-06-14,02:30:00,Monday,Sell,1864.4,1877.77,13.37,177.21,13.25,1050,Stop Loss,13
2011-12-02,14:30:00,Friday,Sell,1749.5,1763.2,13.7,227.0,16.57,337,Stop Loss,13
2011-11-16,22:30:00,Wednesday,Sell,1762.9,1776.85,13.95,240.4,17.23,405,Stop Loss,13
2011-11-16,02:30:00,Wednesday,Sell,1770.3,1783.65,13.35,247.8,18.56,414,Stop Loss,13
2024-09-30,01:30:00,Monday,Sell,2652.37,2666.08,13.71,27.82,2.03,9,Stop Loss,13
2020-05-26,10:30:00,Tuesday,Sell,1721.34,1734.66,13.32,27.77,2.08,20,Stop Loss,13
2020-06-11,18:30:00,Thursday,Sell,1731.75,1744.76,13.01,27.63,2.12,36,Stop Loss,13
2022-09-23,13:30:00,Friday,Sell,1644.63,1658.39,13.76,29.99,2.18,19,Stop Loss,13
2025-02-28,06:30:00,Friday,Sell,2863.32,2876.36,13.04,30.9,2.37,5,Stop Loss,13
2025-06-03,05:30:00,Tuesday,Sell,3364.79,3378.11,13.32,31.78,2.39,9,Stop Loss,13
2016-02-15,02:30:00,Monday,Sell,1224.0,1237.42,13.42,33.18,2.47,23,Stop Loss,13
2016-06-20,02:30:00,Monday,Sell,1284.6,1297.76,13.16,34.49,2.62,25,Stop Loss,13
2017-06-26,10:30:00,Monday,Sell,1241.21,1255.17,13.96,36.52,2.62,116,Stop Loss,13
2024-10-08,13:30:00,Tuesday,Sell,2639.38,2653.2,13.82,37.57,2.72,18,Stop Loss,13
2013-09-05,14:30:00,Thursday,Sell,1386.7,1399.96,13.26,340.47,25.68,8919,Stop Loss,13
2013-05-14,18:30:00,Tuesday,Sell,1425.75,1439.19,13.44,379.52,28.24,9528,Stop Loss,13
2017-05-01,18:30:00,Monday,Sell,1255.11,1268.55,13.44,40.98,3.05,114,Stop Loss,13
2018-01-25,22:30:00,Thursday,Sell,1347.95,1361.15,13.2,41.0,3.11,93,Stop Loss,13
2011-10-19,17:30:00,Wednesday,Sell,1645.85,1659.0,13.15,42.1,3.2,17,Stop Loss,13
2023-03-24,13:30:00,Friday,Sell,1989.26,2003.14,13.88,45.39,3.27,43,Stop Loss,13
2012-05-22,10:30:00,Tuesday,Sell,1577.14,1591.1,13.96,46.0,3.29,49,Stop Loss,13
