date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,distance_rounded
2024-08-19,01:30:00,Monday,Sell,2497.93,2510.24,12.31,12.4,1.01,8,Stop Loss,12
2012-01-06,14:30:00,Friday,Sell,1618.37,1631.18,12.81,13.46,1.05,12,Stop Loss,12
2024-03-15,13:30:00,Friday,Sell,2159.86,2172.84,12.98,13.91,1.07,20,Stop Loss,12
2025-06-25,09:30:00,Wednesday,Sell,3325.07,3337.23,12.16,13.18,1.08,4,Stop Loss,12
2025-08-12,13:30:00,Tuesday,Sell,3345.14,3358.1,12.96,14.14,1.09,1,Stop Loss,12
2011-04-25,14:30:00,Monday,Sell,1506.1,1518.25,12.15,13.25,1.09,13,Stop Loss,12
2011-08-31,10:30:00,Wednesday,Sell,1824.55,1836.66,12.11,13.35,1.1,2,Stop Loss,12
2021-05-12,18:30:00,Wednesday,Sell,1821.99,1834.12,12.13,13.43,1.11,10,Stop Loss,12
2025-08-12,09:30:00,Tuesday,Sell,3345.31,3358.21,12.9,14.31,1.11,2,Stop Loss,12
2020-03-27,22:30:00,Friday,Sell,1617.3,1629.79,12.49,13.97,1.12,1,Stop Loss,12
2012-11-07,14:30:00,Wednesday,Sell,1717.22,1729.83,12.61,14.22,1.13,8,Stop Loss,12
2012-06-28,14:30:00,Thursday,Sell,1561.89,1574.1,12.21,14.03,1.15,6,Stop Loss,12
2012-10-23,09:30:00,Tuesday,Sell,1712.42,1724.62,12.2,14.12,1.16,38,Stop Loss,12
2023-04-21,09:30:00,Friday,Sell,1985.87,1998.14,12.27,14.38,1.17,10,Stop Loss,12
2021-01-22,10:30:00,Friday,Sell,1851.59,1863.95,12.36,14.42,1.17,7,Stop Loss,12
2020-03-02,14:30:00,Monday,Sell,1598.57,1610.82,12.25,14.64,1.2,7,Stop Loss,12
2023-03-14,09:30:00,Tuesday,Sell,1900.93,1913.66,12.73,15.29,1.2,7,Stop Loss,12
2012-02-10,10:30:00,Friday,Sell,1719.7,1732.2,12.5,15.16,1.21,6,Stop Loss,12
2012-04-19,18:30:00,Thursday,Sell,1638.6,1651.31,12.71,15.5,1.22,28,Stop Loss,12
2015-01-21,14:30:00,Wednesday,Sell,1293.49,1305.54,12.05,14.93,1.24,7,Stop Loss,12
2013-02-28,18:30:00,Thursday,Sell,1577.55,1590.5,12.95,16.21,1.25,47,Stop Loss,12
2017-01-25,14:30:00,Wednesday,Sell,1195.69,1207.88,12.19,15.27,1.25,24,Stop Loss,12
2024-03-22,01:30:00,Friday,Sell,2173.2,2186.19,12.99,16.22,1.25,14,Stop Loss,12
2021-03-08,10:30:00,Monday,Sell,1692.29,1704.61,12.32,15.6,1.27,6,Stop Loss,12
2020-05-08,18:30:00,Friday,Sell,1708.77,1721.76,12.99,17.02,1.31,23,Stop Loss,12
2024-01-24,14:30:00,Wednesday,Sell,2024.45,2036.77,12.32,16.2,1.31,18,Stop Loss,12
2022-05-17,14:30:00,Tuesday,Sell,1823.67,1836.23,12.56,16.44,1.31,12,Stop Loss,12
2020-03-13,09:30:00,Friday,Sell,1582.2,1594.36,12.16,15.93,1.31,1,Stop Loss,12
2025-01-17,18:30:00,Friday,Sell,2705.29,2717.43,12.14,16.08,1.32,8,Stop Loss,12
2025-05-20,01:30:00,Tuesday,Sell,3220.86,3232.86,12.0,16.29,1.36,2,Stop Loss,12
2021-03-30,10:30:00,Tuesday,Sell,1695.92,1708.65,12.73,18.16,1.43,8,Stop Loss,12
2023-12-15,14:30:00,Friday,Sell,2032.9,2045.02,12.12,17.6,1.45,13,Stop Loss,12
2020-06-15,06:30:00,Monday,Sell,1721.86,1734.01,12.15,17.74,1.46,19,Stop Loss,12
2024-07-19,13:30:00,Friday,Sell,2403.56,2416.49,12.93,19.78,1.53,16,Stop Loss,12
2022-10-28,09:30:00,Friday,Sell,1649.39,1661.61,12.22,18.87,1.54,21,Stop Loss,12
2023-06-27,17:30:00,Tuesday,Sell,1911.83,1924.1,12.27,18.95,1.54,23,Stop Loss,12
2010-05-20,06:30:00,Thursday,Sell,1185.44,1198.04,12.6,19.4,1.54,21,Stop Loss,12
2009-12-21,18:30:00,Monday,Sell,1095.0,1107.85,12.85,20.35,1.58,19,Stop Loss,12
2010-12-08,02:30:00,Wednesday,Sell,1391.84,1404.61,12.77,20.59,1.61,24,Stop Loss,12
2020-08-25,10:30:00,Tuesday,Sell,1923.23,1936.04,12.81,20.69,1.62,8,Stop Loss,12
2012-08-13,18:30:00,Monday,Sell,1610.65,1623.03,12.38,20.8,1.68,34,Stop Loss,12
2021-02-17,14:30:00,Wednesday,Sell,1781.27,1793.56,12.29,20.76,1.69,16,Stop Loss,12
2023-03-07,14:30:00,Tuesday,Sell,1831.36,1844.07,12.71,22.09,1.74,18,Stop Loss,12
2024-09-17,17:30:00,Tuesday,Sell,2569.6,2582.38,12.78,22.82,1.79,7,Stop Loss,12
2019-08-29,10:30:00,Thursday,Sell,1538.37,1550.47,12.1,21.61,1.79,25,Stop Loss,12
2022-03-29,10:30:00,Tuesday,Sell,1912.59,1925.22,12.63,22.68,1.8,5,Stop Loss,12
2010-05-19,18:30:00,Wednesday,Sell,1188.64,1201.04,12.4,22.6,1.82,25,Stop Loss,12
2015-03-06,18:30:00,Friday,Sell,1165.55,1177.79,12.24,22.96,1.88,59,Stop Loss,12
2018-02-06,14:30:00,Tuesday,Sell,1330.86,1343.6,12.74,23.91,1.88,37,Stop Loss,12
2024-04-15,13:30:00,Monday,Sell,2348.41,2361.37,12.96,24.39,1.88,1,Stop Loss,12
2016-11-07,02:30:00,Monday,Sell,1291.8,1304.4,12.6,23.9,1.9,12,Stop Loss,12
2020-09-07,06:30:00,Monday,Sell,1929.37,1941.42,12.05,23.05,1.91,13,Stop Loss,12
2023-10-02,09:30:00,Monday,Sell,1834.0,1846.37,12.37,23.66,1.91,28,Stop Loss,12
2021-01-25,14:30:00,Monday,Sell,1855.53,1868.06,12.53,24.37,1.94,24,Stop Loss,12
2013-09-16,10:30:00,Monday,Sell,1315.85,1328.3,12.45,24.31,1.95,15,Stop Loss,12
2011-01-04,18:30:00,Tuesday,Sell,1377.0,1389.35,12.35,24.35,1.97,41,Stop Loss,12
2025-05-13,09:30:00,Tuesday,Sell,3253.14,3265.73,12.59,132.28,10.51,32,Stop Loss,12
2022-08-25,14:30:00,Thursday,Sell,1753.08,1765.56,12.48,138.44,11.09,335,Stop Loss,12
2016-11-10,10:30:00,Thursday,Sell,1280.0,1292.41,12.41,157.49,12.69,648,Stop Loss,12
2013-09-19,10:30:00,Thursday,Sell,1362.61,1375.33,12.72,183.75,14.45,737,Stop Loss,12
2011-12-09,14:30:00,Friday,Sell,1711.15,1724.05,12.9,188.65,14.62,192,Stop Loss,12
2021-02-01,10:30:00,Monday,Sell,1859.67,1871.87,12.2,182.98,15.0,449,Stop Loss,12
2024-11-06,02:30:00,Wednesday,Sell,2737.14,2749.83,12.69,200.45,15.8,315,Stop Loss,12
2022-06-17,02:30:00,Friday,Sell,1844.7,1857.41,12.71,230.06,18.1,847,Stop Loss,12
2022-06-13,10:30:00,Monday,Sell,1854.41,1867.28,12.87,239.77,18.63,883,Stop Loss,12
2013-04-03,02:30:00,Wednesday,Sell,1564.91,1577.3,12.39,24.86,2.01,16,Stop Loss,12
2024-04-15,09:30:00,Monday,Sell,2349.34,2361.62,12.28,25.32,2.06,2,Stop Loss,12
2021-09-27,09:30:00,Monday,Sell,1748.13,1760.82,12.69,26.61,2.1,20,Stop Loss,12
2019-07-03,14:30:00,Wednesday,Sell,1413.6,1426.42,12.82,28.03,2.19,33,Stop Loss,12
2022-11-18,14:30:00,Friday,Sell,1753.21,1765.81,12.6,27.72,2.2,49,Stop Loss,12
2024-04-10,09:30:00,Wednesday,Sell,2347.38,2360.06,12.68,28.29,2.23,9,Stop Loss,12
2016-11-02,21:30:00,Wednesday,Sell,1296.08,1308.09,12.01,28.18,2.35,25,Stop Loss,12
2009-12-21,14:30:00,Monday,Sell,1105.45,1118.4,12.95,30.8,2.38,46,Stop Loss,12
2020-08-12,18:30:00,Wednesday,Sell,1936.83,1949.35,12.52,30.33,2.42,6,Stop Loss,12
2009-04-03,18:30:00,Friday,Sell,895.33,907.79,12.46,30.36,2.44,83,Stop Loss,12
2021-06-23,18:30:00,Wednesday,Sell,1782.32,1795.01,12.69,31.74,2.5,49,Stop Loss,12
2024-12-27,10:30:00,Friday,Sell,2626.33,2638.35,12.02,30.3,2.52,17,Stop Loss,12
2022-03-28,22:30:00,Monday,Sell,1921.98,1934.48,12.5,32.07,2.57,10,Stop Loss,12
2010-05-19,14:30:00,Wednesday,Sell,1198.99,1211.49,12.5,32.95,2.64,29,Stop Loss,12
2010-07-23,14:30:00,Friday,Sell,1191.35,1204.2,12.85,34.65,2.7,60,Stop Loss,12
2025-01-03,14:30:00,Friday,Sell,2647.35,2659.39,12.04,32.78,2.72,12,Stop Loss,12
2011-09-13,06:30:00,Tuesday,Sell,1823.75,1835.9,12.15,33.3,2.74,3,Stop Loss,12
2022-10-17,17:30:00,Monday,Sell,1652.49,1665.34,12.85,35.39,2.75,26,Stop Loss,12
2022-07-14,10:30:00,Thursday,Sell,1716.35,1728.89,12.54,35.61,2.84,37,Stop Loss,12
2019-11-05,18:30:00,Tuesday,Sell,1481.77,1494.48,12.71,36.26,2.85,208,Stop Loss,12
2013-02-27,18:30:00,Wednesday,Sell,1595.7,1607.7,12.0,34.36,2.86,74,Stop Loss,12
2024-11-13,22:30:00,Wednesday,Sell,2572.62,2585.05,12.43,35.93,2.89,13,Stop Loss,12
2025-05-30,01:30:00,Friday,Sell,3309.71,3322.69,12.98,38.01,2.93,7,Stop Loss,12
2025-03-21,01:30:00,Friday,Sell,3035.55,3047.66,12.11,36.21,2.99,27,Stop Loss,12
2020-09-01,18:30:00,Tuesday,Sell,1970.35,1983.26,12.91,293.66,22.75,2331,Stop Loss,12
2022-04-22,18:30:00,Friday,Sell,1932.91,1945.45,12.54,318.27,25.38,1176,Stop Loss,12
2022-04-22,10:30:00,Friday,Sell,1943.46,1955.74,12.28,328.82,26.78,1209,Stop Loss,12
2013-08-28,14:30:00,Wednesday,Sell,1418.59,1431.05,12.46,372.36,29.88,8967,Stop Loss,12
2021-02-04,02:30:00,Thursday,Sell,1822.54,1834.83,12.29,37.75,3.07,15,Stop Loss,12
2025-01-24,18:30:00,Friday,Sell,2773.09,2786.02,12.93,42.73,3.3,23,Stop Loss,12
2024-02-09,14:30:00,Friday,Sell,2025.0,2037.34,12.34,40.93,3.32,61,Stop Loss,12
2025-02-28,02:30:00,Friday,Sell,2872.98,2885.14,12.16,40.56,3.34,10,Stop Loss,12
2025-09-24,13:30:00,Wednesday,Sell,3760.36,3773.02,12.66,42.97,3.39,13,Stop Loss,12
2024-07-24,21:30:00,Wednesday,Sell,2396.79,2409.57,12.78,43.81,3.43,23,Stop Loss,12
2011-03-08,14:30:00,Tuesday,Sell,1424.75,1436.95,12.2,43.9,3.6,67,Stop Loss,12
2024-08-28,01:30:00,Wednesday,Sell,2516.86,2529.14,12.28,45.13,3.68,45,Stop Loss,12
2020-03-31,10:30:00,Tuesday,Sell,1606.72,1618.98,12.26,46.59,3.8,15,Stop Loss,12
2010-12-07,18:30:00,Tuesday,Sell,1408.8,1421.28,12.48,47.65,3.82,106,Stop Loss,12
2013-06-27,10:30:00,Thursday,Sell,1229.68,1242.38,12.7,49.53,3.9,10,Stop Loss,12
2023-02-14,18:30:00,Tuesday,Sell,1853.33,1865.76,12.43,48.71,3.92,108,Stop Loss,12
2022-03-10,14:30:00,Thursday,Sell,1996.58,2009.19,12.61,381.94,30.29,1582,Stop Loss,12
2013-05-14,10:30:00,Tuesday,Sell,1431.0,1443.23,12.23,384.77,31.46,9530,Stop Loss,12
2013-05-10,10:30:00,Friday,Sell,1449.45,1462.25,12.8,403.22,31.5,9612,Stop Loss,12
2013-05-09,22:30:00,Thursday,Sell,1457.54,1469.54,12.0,411.31,34.28,9616,Stop Loss,12
2025-05-28,17:30:00,Wednesday,Sell,3296.37,3309.15,12.78,51.13,4.0,5,Stop Loss,12
