date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason
2023-01-20,02:30:00,Friday,Sell,1929.36,1934.96,5.6,6.27,1.12,2,Stop Loss
2020-03-27,22:30:00,Friday,Sell,1617.3,1629.79,12.49,13.97,1.12,1,Stop Loss
2021-09-10,22:30:00,Friday,Sell,1787.67,1791.33,3.66,4.12,1.13,2,Stop Loss
2023-06-09,09:30:00,Friday,Sell,1961.63,1966.16,4.53,5.1,1.13,1,Stop Loss
2017-03-10,02:30:00,Friday,Sell,1198.69,1202.08,3.39,3.83,1.13,3,Stop Loss
2013-12-06,18:30:00,Friday,Sell,1230.2,1236.12,5.92,6.76,1.14,5,Stop Loss
2021-05-14,02:30:00,Friday,Sell,1823.62,1827.26,3.64,4.14,1.14,2,Stop Loss
2014-09-19,18:30:00,Friday,Sell,1215.13,1221.47,6.34,7.25,1.14,10,Stop Loss
2021-03-05,10:30:00,Friday,Sell,1694.32,1700.53,6.21,7.1,1.14,1,Stop Loss
2011-11-25,06:30:00,Friday,Sell,1684.94,1696.51,11.57,13.2,1.14,3,Stop Loss
2011-03-11,06:30:00,Friday,Sell,1412.95,1417.5,4.55,5.25,1.15,1,Stop Loss
2022-05-13,14:30:00,Friday,Sell,1806.12,1823.15,17.03,19.62,1.15,8,Stop Loss
2011-12-16,10:30:00,Friday,Sell,1589.7,1595.75,6.05,6.94,1.15,1,Stop Loss
2019-08-09,22:30:00,Friday,Sell,1497.17,1499.77,2.6,2.99,1.15,1,Stop Loss
2017-07-28,06:30:00,Friday,Sell,1259.15,1260.17,1.02,1.18,1.16,1,Stop Loss
2024-06-07,17:30:00,Friday,Sell,2305.18,2321.21,16.03,18.54,1.16,17,Stop Loss
2025-02-21,06:30:00,Friday,Sell,2929.17,2939.94,10.77,12.53,1.16,3,Stop Loss
2024-11-01,21:30:00,Friday,Sell,2734.27,2738.13,3.86,4.48,1.16,1,Stop Loss
2017-08-18,22:30:00,Friday,Sell,1285.28,1289.43,4.15,4.82,1.16,4,Stop Loss
2009-11-20,14:30:00,Friday,Sell,1141.25,1144.45,3.2,3.75,1.17,1,Stop Loss
2021-01-22,10:30:00,Friday,Sell,1851.59,1863.95,12.36,14.42,1.17,7,Stop Loss
2023-10-27,13:30:00,Friday,Sell,1982.7,1986.33,3.63,4.23,1.17,1,Stop Loss
2023-04-21,09:30:00,Friday,Sell,1985.87,1998.14,12.27,14.38,1.17,10,Stop Loss
2012-05-25,02:30:00,Friday,Sell,1555.8,1559.71,3.91,4.58,1.17,2,Stop Loss
2024-06-21,17:30:00,Friday,Sell,2318.99,2340.66,21.67,25.49,1.18,46,Stop Loss
2024-06-28,13:30:00,Friday,Sell,2330.02,2339.83,9.81,11.62,1.18,17,Stop Loss
2016-01-08,10:30:00,Friday,Sell,1097.52,1102.31,4.79,5.67,1.18,1,Stop Loss
2014-01-10,10:30:00,Friday,Sell,1233.04,1238.17,5.13,6.05,1.18,1,Stop Loss
2010-08-13,14:30:00,Friday,Sell,1214.3,1217.6,3.3,3.9,1.18,3,Stop Loss
2016-06-10,02:30:00,Friday,Sell,1267.28,1269.68,2.4,2.84,1.18,3,Stop Loss
2020-03-13,17:30:00,Friday,Sell,1522.04,1582.03,59.99,70.96,1.18,39,Stop Loss
